Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
Wolves,Frequent Travelers,210000,28.767123287670998,18000000,36.734693877550995,78.310502283105
Wolves,Small business owners,11000,1.5068493150685,860000,1.7551020408162998,85.855367951577
Wolves,Facebook Payments users (90 days),1000,0.13698630136986,56000,0.11428571428571001,119.86301369863001
Wolves,Technology early adopters,15000,2.0547945205478997,1100000,2.2448979591837,91.53175591531799
Wolves,Facebook access (OS): Windows 7,1000,0.13698630136986,32000,0.06530612244898001,209.76027397259998
Wolves,Facebook access (OS): Mac OS X,1200,0.16438356164384,150000,0.30612244897959,53.698630136986
Wolves,Facebook access (OS): Windows Vista,1000,0.13698630136986,1000,0.0020408163265306,6712.328767123299
Wolves,Facebook access (OS): Windows XP,1000,0.13698630136986,1000,0.0020408163265306,6712.328767123299
Wolves,Facebook access (mobile): iPhone 4S,1000,0.13698630136986,9100,0.018571428571429002,737.61854583772
Wolves,Facebook access (mobile): iPhone 4,1000,0.13698630136986,1900,0.0038775510204082,3532.8046142753997
Wolves,Facebook access (mobile): Android devices,1000,0.13698630136986,11000000,22.448979591837002,0.6102117061021199
Wolves,Facebook access (mobile): feature phones,1000,0.13698630136986,1000,0.0020408163265306,6712.328767123299
Wolves,Facebook access (mobile): iPod Touch,1000,0.13698630136986,12000,0.024489795918367002,559.3607305936099
Wolves,Facebook access (mobile): Windows phones,1000,0.13698630136986,22000,0.044897959183672995,305.10585305106
Wolves,Facebook access (mobile): Apple (iOS) devices,130000,17.808219178082,11000000,22.448979591837002,79.327521793275
Wolves,Facebook access (mobile): iPad 3,1000,0.13698630136986,68000,0.13877551020408,98.710717163578
Wolves,Facebook access (mobile): iPad 2,1000,0.13698630136986,100000,0.20408163265306,67.123287671233
Wolves,Facebook access (mobile): iPad 1,1300,0.17808219178082,170000,0.3469387755102,51.32957292506
Wolves,Facebook access (mobile): Samsung Android mobile devices,52000,7.123287671232901,4500000,9.1836734693878,77.564687975647
Wolves,Facebook access (mobile): HTC Android mobile devices,1000,0.13698630136986,19000,0.038775510204082,353.28046142754
Wolves,Facebook access(mobile): LG Android mobile devices,1000,0.13698630136986,45000,0.09183673469387801,149.16286149163
Wolves,Facebook access (mobile): Sony Android mobile devices,2600,0.35616438356164,250000,0.5102040816326501,69.808219178082
Wolves,Facebook access (mobile): all mobile devices,170000,23.287671232877003,15000000,30.612244897959,76.073059360731
Wolves,Facebook access (mobile): smartphones and tablets,240000,32.876712328767,20000000,40.816326530612,80.547945205479
Wolves,Facebook access (mobile): Motorola Android mobile devices,1400,0.19178082191780998,170000,0.3469387755102,55.278001611604004
Wolves,Facebook access: older devices and OS,57000,7.8082191780822,5600000,11.428571428571,68.321917808219
Wolves,Facebook access (mobile): iPhone 5,1000,0.13698630136986,35000,0.071428571428571,191.78082191781002
Wolves,Facebook Payments users (30 days),1000,0.13698630136986,23000,0.046938775510204006,291.84038117927
Wolves,Facebook access (OS): Windows 8,1000,0.13698630136986,25000,0.051020408163265,268.49315068492996
Wolves,New smartphone and tablet users,4400,0.6027397260274,400000,0.81632653061224,73.835616438356
Wolves,Owns: Galaxy S III devices,1000,0.13698630136986,4000,0.0081632653061224,1678.0821917807998
Wolves,Console gamers,49000,6.712328767123299,2000000,4.081632653061201,164.45205479452
Wolves,Returned from travels 1 week ago,15000,2.0547945205478997,1300000,2.6530612244897998,77.449947312961
Wolves,Returned from travels 2 weeks ago,2000,0.27397260273973,180000,0.36734693877551006,74.581430745814
Wolves,Owns: Kindle Fire,1000,0.13698630136986,3000,0.0061224489795918,2237.4429223744
Wolves,Facebook access (mobile): iPhone 5S,1300,0.17808219178082,160000,0.32653061224490004,54.537671232876995
Wolves,Facebook access (mobile): iPhone 5C,1000,0.13698630136986,27000,0.05510204081632701,248.60476915271
Wolves,Owns: LG G2 devices,1000,0.13698630136986,1000,0.0020408163265306,6712.328767123299
Wolves,Owns: iPad 4,1900,0.26027397260274,190000,0.38775510204082,67.123287671233
Wolves,Owns: iPad Mini 1,1300,0.17808219178082,130000,0.26530612244898005,67.123287671233
Wolves,Owns: iPad Air,3400,0.46575342465753006,350000,0.71428571428571,65.205479452055
Wolves,Owns: iPad Mini 2,1900,0.26027397260274,190000,0.38775510204082,67.123287671233
Wolves,Owns: Huawei,18000,2.4657534246575,1600000,3.265306122449,75.513698630137
