Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
Leicester City,United States,110000,11.458333333333002,230000000,10.952380952381,104.61956521739
Leicester City,Canada,22000,2.2916666666667003,25000000,1.1904761904762,192.5
Leicester City,United Kingdom,880000,91.666666666667,49000000,2.3333333333332997,3928.5714285714002
Leicester City,Argentina,160000,16.666666666667,34000000,1.6190476190476,1029.4117647059
Leicester City,Australia,39000,4.0625,17000000,0.80952380952381,501.83823529412
Leicester City,Austria,24000,2.5,4400000,0.20952380952381,1193.1818181817998
Leicester City,Belgium,31000,3.2291666666667003,7700000,0.36666666666666997,880.68181818182
Leicester City,Brazil,130000,13.541666666666998,140000000,6.6666666666667,203.125
Leicester City,Chile,15000,1.5625,15000000,0.71428571428571,218.75
Leicester City,China,2800,0.29166666666667,3400000,0.16190476190476,180.14705882353002
Leicester City,Colombia,120000,12.5,36000000,1.7142857142857,729.16666666667
Leicester City,Croatia,14000,1.4583333333333,2100000,0.1,1458.3333333332998
Leicester City,Denmark,20000,2.0833333333333,4000000,0.19047619047619,1093.75
Leicester City,Dominican Republic,1000,0.10416666666666999,6400000,0.3047619047619,34.1796875
Leicester City,Egypt,220000,22.916666666667,44000000,2.0952380952381,1093.75
Leicester City,Finland,6400,0.6666666666666701,3300000,0.15714285714285997,424.24242424242004
Leicester City,France,130000,13.541666666666998,45000000,2.1428571428571,631.94444444444
Leicester City,Germany,140000,14.583333333333002,38000000,1.8095238095238,805.9210526315801
Leicester City,Greece,38000,3.9583333333332997,6400000,0.3047619047619,1298.828125
Leicester City,Hong Kong,14000,1.4583333333333,5700000,0.27142857142857,537.2807017543901
Leicester City,India,900000,93.75,360000000,17.142857142857,546.875
Leicester City,Indonesia,160000,16.666666666667,150000000,7.1428571428571,233.33333333332996
Leicester City,Ireland,48000,5.0,3200000,0.15238095238095,3281.25
Leicester City,Israel,12000,1.25,5900000,0.28095238095238,444.91525423729
Leicester City,Italy,260000,27.083333333333,36000000,1.7142857142857,1579.8611111111
Leicester City,Japan,26000,2.7083333333332997,45000000,2.1428571428571,126.38888888889
Leicester City,Jordan,15000,1.5625,5700000,0.27142857142857,575.65789473684
Leicester City,Kuwait,7700,0.80208333333333,4200000,0.2,401.04166666667
Leicester City,Lebanon,8200,0.85416666666667,3800000,0.18095238095238,472.03947368420995
Leicester City,Malaysia,65000,6.7708333333333,26000000,1.2380952380952,546.875
Leicester City,Mexico,120000,12.5,92000000,4.3809523809524,285.32608695652
Leicester City,Netherlands,61000,6.3541666666667,11000000,0.5238095238095201,1213.0681818182002
Leicester City,New Zealand,6000,0.625,3500000,0.16666666666667002,375.0
Leicester City,Nigeria,230000,23.958333333333,29000000,1.3809523809524,1734.9137931034
