Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
Liverpool,United States,1400000,26.923076923077,230000000,10.952380952381,245.81939799331002
Liverpool,Canada,320000,6.1538461538462,25000000,1.1904761904762,516.92307692308
Liverpool,United Kingdom,5900000,113.46153846153999,49000000,2.3333333333332997,4862.6373626374
Liverpool,Argentina,770000,14.807692307692001,34000000,1.6190476190476,914.592760181
Liverpool,Australia,460000,8.8461538461538,17000000,0.80952380952381,1092.7601809955
Liverpool,Austria,140000,2.6923076923077,4400000,0.20952380952381,1284.965034965
Liverpool,Belgium,210000,4.0384615384615,7700000,0.36666666666666997,1101.3986013986
Liverpool,Brazil,2100000,40.384615384615,140000000,6.6666666666667,605.7692307692299
Liverpool,Chile,270000,5.1923076923077,15000000,0.71428571428571,726.92307692308
Liverpool,China,23000,0.44230769230769,3400000,0.16190476190476,273.19004524887004
Liverpool,Colombia,540000,10.384615384615001,36000000,1.7142857142857,605.7692307692299
Liverpool,Croatia,92000,1.7692307692308,2100000,0.1,1769.2307692308
Liverpool,Denmark,350000,6.730769230769201,4000000,0.19047619047619,3533.6538461538003
Liverpool,Dominican Republic,58000,1.1153846153846,6400000,0.3047619047619,365.98557692308
Liverpool,Egypt,4800000,92.307692307692,44000000,2.0952380952381,4405.5944055944
Liverpool,Finland,52000,1.0,3300000,0.15714285714285997,636.36363636364
Liverpool,France,790000,15.192307692307999,45000000,2.1428571428571,708.9743589743599
Liverpool,Germany,1300000,25.0,38000000,1.8095238095238,1381.5789473684
Liverpool,Greece,260000,5.0,6400000,0.3047619047619,1640.625
Liverpool,Hong Kong,110000,2.1153846153846003,5700000,0.27142857142857,779.35222672065
Liverpool,India,3600000,69.230769230769,360000000,17.142857142857,403.84615384615
Liverpool,Indonesia,5300000,101.92307692308,150000000,7.1428571428571,1426.9230769230999
Liverpool,Ireland,400000,7.6923076923077,3200000,0.15238095238095,5048.0769230769
Liverpool,Israel,150000,2.8846153846153997,5900000,0.28095238095238,1026.7275097784
Liverpool,Italy,990000,19.038461538462,36000000,1.7142857142857,1110.5769230769001
Liverpool,Japan,150000,2.8846153846153997,45000000,2.1428571428571,134.61538461538
Liverpool,Jordan,220000,4.230769230769201,5700000,0.27142857142857,1558.7044534413
Liverpool,Kuwait,150000,2.8846153846153997,4200000,0.2,1442.3076923076999
Liverpool,Lebanon,94000,1.8076923076923002,3800000,0.18095238095238,998.9878542510099
Liverpool,Malaysia,1100000,21.153846153846,26000000,1.2380952380952,1708.5798816568
Liverpool,Mexico,1100000,21.153846153846,92000000,4.3809523809524,482.85953177257994
Liverpool,Netherlands,280000,5.3846153846154,11000000,0.5238095238095201,1027.972027972
Liverpool,New Zealand,61000,1.1730769230769,3500000,0.16666666666667002,703.8461538461501
Liverpool,Nigeria,1400000,26.923076923077,29000000,1.3809523809524,1949.6021220159
Liverpool,Norway,240000,4.6153846153846,3700000,0.17619047619048,2619.5426195426003
Liverpool,Pakistan,550000,10.576923076923,41000000,1.9523809523809998,541.74484052533
Liverpool,Panama,47000,0.9038461538461501,2600000,0.12380952380952001,730.02958579882
Liverpool,Peru,320000,6.1538461538462,24000000,1.1428571428571002,538.46153846154
Liverpool,Philippines,1600000,30.769230769231,78000000,3.7142857142857,828.40236686391
Liverpool,Poland,340000,6.5384615384615,20000000,0.95238095238095,686.53846153846
Liverpool,Russia,740000,14.230769230769,58000000,2.7619047619048,515.25198938992
Liverpool,Saudi Arabia,440000,8.461538461538499,25000000,1.1904761904762,710.76923076923
Liverpool,Serbia,110000,2.1153846153846003,3800000,0.18095238095238,1169.0283400810001
Liverpool,Singapore,200000,3.8461538461538,4600000,0.21904761904762,1755.8528428094
Liverpool,South Africa,760000,14.615384615385,22000000,1.047619047619,1395.1048951049
Liverpool,South Korea,260000,5.0,21000000,1.0,500.0
Liverpool,Spain,500000,9.6153846153846,35000000,1.6666666666667,576.92307692308
Liverpool,Sweden,300000,5.769230769230799,7200000,0.34285714285714003,1682.6923076923001
Liverpool,Switzerland,150000,2.8846153846153997,4800000,0.22857142857143,1262.0192307692
Liverpool,Taiwan,53000,1.0192307692308,18000000,0.85714285714286,118.91025641026
Liverpool,Thailand,2400000,46.153846153846,51000000,2.4285714285714,1900.4524886878
Liverpool,Turkey,1700000,32.692307692308,56000000,2.6666666666667003,1225.9615384615
Liverpool,United Arab Emirates,340000,6.5384615384615,10000000,0.47619047619048,1373.0769230769001
Liverpool,Venezuela,270000,5.1923076923077,13000000,0.61904761904762,838.7573964497
Liverpool,Portugal,200000,3.8461538461538,7600000,0.36190476190476,1062.7530364372
Liverpool,Luxembourg,14000,0.26923076923077,390000,0.018571428571429002,1449.7041420117998
Liverpool,Bulgaria,110000,2.1153846153846003,3900000,0.18571428571429,1139.0532544379
Liverpool,Czech Republic,83000,1.5961538461538003,5800000,0.27619047619048,577.91777188329
Liverpool,Slovenia,27000,0.51923076923077,1100000,0.05238095238095201,991.2587412587401
Liverpool,Iceland,36000,0.69230769230769,280000,0.013333333333333,5192.307692307701
Liverpool,Slovakia,68000,1.3076923076923002,2900000,0.13809523809524,946.94960212202
Liverpool,Lithuania,19000,0.36538461538461997,1800000,0.08571428571428599,426.28205128205
Liverpool,Trinidad and Tobago,28000,0.53846153846154,900000,0.042857142857142996,1256.4102564103
Liverpool,Bangladesh,690000,13.269230769231,40000000,1.9047619047619,696.63461538462
Liverpool,Sri Lanka,43000,0.82692307692308,7200000,0.34285714285714003,241.1858974359
Liverpool,Kenya,530000,10.192307692308,9900000,0.47142857142857,2162.0046620047
Liverpool,Hungary,130000,2.5,6500000,0.30952380952381,807.69230769231
Liverpool,Morocco,720000,13.846153846154001,19000000,0.9047619047619,1530.3643724695999
Liverpool,Cyprus,46000,0.88461538461538,1000000,0.04761904761904799,1857.6923076923001
Liverpool,Jamaica,56000,1.0769230769231,1400000,0.066666666666667,1615.3846153846
Liverpool,Ecuador,170000,3.2692307692308,13000000,0.61904761904762,528.10650887574
Liverpool,Romania,190000,3.6538461538462,11000000,0.5238095238095201,697.55244755245
Liverpool,Bolivia,110000,2.1153846153846003,7200000,0.34285714285714003,616.9871794871799
Liverpool,Guatemala,120000,2.3076923076923,8000000,0.38095238095238,605.7692307692299
Liverpool,Costa Rica,130000,2.5,3600000,0.17142857142857001,1458.3333333332998
Liverpool,Qatar,78000,1.5,2900000,0.13809523809524,1086.2068965517
Liverpool,El Salvador,77000,1.4807692307692,3900000,0.18571428571429,797.33727810651
Liverpool,Honduras,120000,2.3076923076923,4200000,0.2,1153.8461538462
Liverpool,Nicaragua,41000,0.78846153846154,3100000,0.14761904761905,534.11910669975
Liverpool,Paraguay,54000,1.0384615384615,3900000,0.18571428571429,559.17159763314
Liverpool,Uruguay,92000,1.7692307692308,2700000,0.12857142857143,1376.0683760683999
Liverpool,Puerto Rico,21000,0.40384615384615,2000000,0.095238095238095,424.03846153846
Liverpool,Bosnia and Herzegovina,59000,1.1346153846154,1700000,0.080952380952381,1401.5837104072
Liverpool,Palestine,84000,1.6153846153846,2700000,0.12857142857143,1256.4102564103
Liverpool,Tunisia,310000,5.9615384615385,7500000,0.35714285714286,1669.2307692308
Liverpool,Bahrain,66000,1.2692307692308,1400000,0.066666666666667,1903.8461538462
Liverpool,Vietnam,1100000,21.153846153846,64000000,3.047619047619,694.11057692308
Liverpool,Ghana,360000,6.9230769230769,7200000,0.34285714285714003,2019.2307692308
Liverpool,Mauritius,120000,2.3076923076923,880000,0.041904761904762,5506.993006993001
Liverpool,Ukraine,210000,4.0384615384615,20000000,0.95238095238095,424.03846153846
Liverpool,Malta,36000,0.69230769230769,400000,0.019047619047619,3634.6153846153998
Liverpool,The Bahamas,1700,0.032692307692308,250000,0.011904761904761998,274.61538461538
Liverpool,Maldives,24000,0.46153846153846,360000,0.017142857142857,2692.3076923077
Liverpool,Oman,38000,0.73076923076923,2900000,0.13809523809524,529.17771883289
Liverpool,Macedonia,48000,0.92307692307692,1100000,0.05238095238095201,1762.2377622378
Liverpool,Latvia,11000,0.21153846153845998,1100000,0.05238095238095201,403.84615384615
Liverpool,Estonia,13000,0.25,770000,0.036666666666667,681.81818181818
Liverpool,Iraq,560000,10.769230769231,23000000,1.0952380952381,983.2775919732401
Liverpool,Algeria,950000,18.269230769231,23000000,1.0952380952381,1668.0602006689
Liverpool,Albania,63000,1.2115384615385,1500000,0.071428571428571,1696.1538461538
Liverpool,Nepal,200000,3.8461538461538,11000000,0.5238095238095201,734.26573426573
Liverpool,Macau,5300,0.10192307692307999,410000,0.019523809523810002,522.04502814259
Liverpool,Montenegro,12000,0.23076923076923,400000,0.019047619047619,1211.5384615385
Liverpool,Senegal,450000,8.653846153846201,3500000,0.16666666666667002,5192.307692307701
Liverpool,Georgia,53000,1.0192307692308,2900000,0.13809523809524,738.06366047745
Liverpool,Brunei,35000,0.67307692307692,410000,0.019523809523810002,3447.4671669794
Liverpool,Uganda,170000,3.2692307692308,3100000,0.14761904761905,2214.6401985111997
Liverpool,Guadeloupe,4200,0.08076923076923101,230000,0.010952380952381,737.45819397993
Liverpool,Barbados,9500,0.18269230769230999,190000,0.009047619047618999,2019.2307692308
Liverpool,Azerbaijan,88000,1.6923076923076998,3900000,0.18571428571429,911.2426035503
Liverpool,Tanzania,290000,5.5769230769231,5000000,0.23809523809524,2342.3076923077
Liverpool,Libya,230000,4.4230769230769,5500000,0.26190476190476003,1688.8111888112
Liverpool,Martinique,3800,0.07307692307692301,220000,0.01047619047619,697.55244755245
Liverpool,Cameroon,120000,2.3076923076923,4000000,0.19047619047619,1211.5384615385
Liverpool,Botswana,86000,1.6538461538461997,1100000,0.05238095238095201,3157.3426573427
Liverpool,Ethiopia,310000,5.9615384615385,6500000,0.30952380952381,1926.0355029585999
Liverpool,Kazakhstan,380000,7.3076923076923,10000000,0.47619047619048,1534.6153846154
Liverpool,Namibia,48000,0.92307692307692,760000,0.036190476190475995,2550.6072874494002
Liverpool,Madagascar,85000,1.6346153846154,2500000,0.11904761904762,1373.0769230769001
