Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
Chelsea,United States,2000000,62.5,230000000,10.952380952381,570.65217391304
Chelsea,Canada,220000,6.875,25000000,1.1904761904762,577.5
Chelsea,United Kingdom,2500000,78.125,49000000,2.3333333333332997,3348.2142857143
Chelsea,Argentina,1900000,59.375,34000000,1.6190476190476,3667.2794117646995
Chelsea,Australia,280000,8.75,17000000,0.80952380952381,1080.8823529412
Chelsea,Austria,93000,2.90625,4400000,0.20952380952381,1387.0738636364001
Chelsea,Belgium,280000,8.75,7700000,0.36666666666666997,2386.3636363635997
Chelsea,Brazil,8000000,250.0,140000000,6.6666666666667,3750.0
Chelsea,Chile,340000,10.625,15000000,0.71428571428571,1487.5
Chelsea,China,19000,0.59375,3400000,0.16190476190476,366.72794117647004
Chelsea,Colombia,890000,27.8125,36000000,1.7142857142857,1622.3958333332998
Chelsea,Croatia,86000,2.6875,2100000,0.1,2687.5
Chelsea,Denmark,75000,2.34375,4000000,0.19047619047619,1230.46875
Chelsea,Dominican Republic,31000,0.96875,6400000,0.3047619047619,317.87109375
Chelsea,Egypt,1200000,37.5,44000000,2.0952380952381,1789.7727272727
Chelsea,Finland,29000,0.90625,3300000,0.15714285714285997,576.70454545455
Chelsea,France,780000,24.375,45000000,2.1428571428571,1137.5
Chelsea,Germany,700000,21.875,38000000,1.8095238095238,1208.8815789474002
Chelsea,Greece,160000,5.0,6400000,0.3047619047619,1640.625
Chelsea,Hong Kong,62000,1.9375,5700000,0.27142857142857,713.81578947368
Chelsea,India,4000000,125.0,360000000,17.142857142857,729.16666666667
Chelsea,Indonesia,4700000,146.875,150000000,7.1428571428571,2056.25
Chelsea,Ireland,160000,5.0,3200000,0.15238095238095,3281.25
Chelsea,Israel,73000,2.28125,5900000,0.28095238095238,811.9703389830499
Chelsea,Italy,960000,30.0,36000000,1.7142857142857,1750.0
Chelsea,Japan,140000,4.375,45000000,2.1428571428571,204.16666666667
Chelsea,Jordan,89000,2.78125,5700000,0.27142857142857,1024.6710526316
Chelsea,Kuwait,48000,1.5,4200000,0.2,750.0
Chelsea,Lebanon,68000,2.125,3800000,0.18095238095238,1174.3421052632
Chelsea,Malaysia,1200000,37.5,26000000,1.2380952380952,3028.8461538461997
Chelsea,Mexico,1400000,43.75,92000000,4.3809523809524,998.6413043478301
Chelsea,Netherlands,200000,6.25,11000000,0.5238095238095201,1193.1818181817998
Chelsea,New Zealand,40000,1.25,3500000,0.16666666666667002,750.0
Chelsea,Nigeria,2600000,81.25,29000000,1.3809523809524,5883.6206896552
Chelsea,Norway,73000,2.28125,3700000,0.17619047619048,1294.7635135135001
Chelsea,Pakistan,640000,20.0,41000000,1.9523809523809998,1024.3902439024
Chelsea,Panama,32000,1.0,2600000,0.12380952380952001,807.69230769231
Chelsea,Peru,530000,16.5625,24000000,1.1428571428571002,1449.21875
Chelsea,Philippines,380000,11.875,78000000,3.7142857142857,319.71153846154
Chelsea,Poland,280000,8.75,20000000,0.95238095238095,918.75
