Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
Everton,United States,150000,12.5,230000000,10.952380952381,114.13043478261001
Everton,Canada,31000,2.5833333333332997,25000000,1.1904761904762,217.0
Everton,United Kingdom,780000,65.0,49000000,2.3333333333332997,2785.7142857143
Everton,Argentina,170000,14.166666666666998,34000000,1.6190476190476,875.0
Everton,Australia,56000,4.6666666666667,17000000,0.80952380952381,576.47058823529
Everton,Austria,20000,1.6666666666667,4400000,0.20952380952381,795.45454545455
Everton,Belgium,69000,5.75,7700000,0.36666666666666997,1568.1818181817998
Everton,Brazil,1900000,158.33333333333,140000000,6.6666666666667,2375.0
Everton,Chile,24000,2.0,15000000,0.71428571428571,280.0
Everton,China,3300,0.275,3400000,0.16190476190476,169.85294117646998
Everton,Colombia,830000,69.166666666667,36000000,1.7142857142857,4034.7222222222
Everton,Croatia,15000,1.25,2100000,0.1,1250.0
Everton,Denmark,13000,1.0833333333333,4000000,0.19047619047619,568.75
Everton,Dominican Republic,2000,0.16666666666667002,6400000,0.3047619047619,54.6875
Everton,Egypt,150000,12.5,44000000,2.0952380952381,596.5909090909099
Everton,Finland,5600,0.46666666666667,3300000,0.15714285714285997,296.9696969697
Everton,France,180000,15.0,45000000,2.1428571428571,700.0
Everton,Germany,220000,18.333333333333,38000000,1.8095238095238,1013.1578947367999
Everton,Greece,28000,2.3333333333332997,6400000,0.3047619047619,765.625
Everton,Hong Kong,13000,1.0833333333333,5700000,0.27142857142857,399.12280701753997
Everton,India,1400000,116.66666666667,360000000,17.142857142857,680.55555555556
Everton,Indonesia,190000,15.833333333333002,150000000,7.1428571428571,221.66666666667004
Everton,Ireland,57000,4.75,3200000,0.15238095238095,3117.1875
Everton,Israel,7200,0.6,5900000,0.28095238095238,213.5593220339
Everton,Italy,160000,13.333333333333002,36000000,1.7142857142857,777.77777777778
Everton,Japan,24000,2.0,45000000,2.1428571428571,93.333333333333
Everton,Jordan,9600,0.8,5700000,0.27142857142857,294.73684210526
Everton,Kuwait,6800,0.5666666666666701,4200000,0.2,283.33333333332996
Everton,Lebanon,10000,0.83333333333333,3800000,0.18095238095238,460.52631578947
Everton,Malaysia,89000,7.4166666666667,26000000,1.2380952380952,599.03846153846
Everton,Mexico,100000,8.3333333333333,92000000,4.3809523809524,190.21739130435
Everton,Netherlands,41000,3.4166666666667003,11000000,0.5238095238095201,652.27272727273
Everton,New Zealand,6600,0.55,3500000,0.16666666666667002,330.0
Everton,Nigeria,340000,28.333333333333,29000000,1.3809523809524,2051.724137931
Everton,Norway,17000,1.4166666666667,3700000,0.17619047619048,804.05405405405
Everton,Pakistan,28000,2.3333333333332997,41000000,1.9523809523809998,119.51219512195
Everton,Panama,4000,0.33333333333333,2600000,0.12380952380952001,269.23076923077
Everton,Peru,60000,5.0,24000000,1.1428571428571002,437.5
Everton,Philippines,9500,0.79166666666667,78000000,3.7142857142857,21.314102564103
Everton,Poland,41000,3.4166666666667003,20000000,0.95238095238095,358.75
Everton,Russia,36000,3.0,58000000,2.7619047619048,108.62068965517
Everton,Saudi Arabia,23000,1.9166666666667,25000000,1.1904761904762,161.0
Everton,Serbia,8200,0.68333333333333,3800000,0.18095238095238,377.63157894737
Everton,Singapore,25000,2.0833333333333,4600000,0.21904761904762,951.0869565217401
Everton,South Africa,96000,8.0,22000000,1.047619047619,763.63636363636
Everton,South Korea,38000,3.1666666666667003,21000000,1.0,316.66666666667004
