Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
Fulham,United States,70000,18.421052631579002,230000000,10.952380952381,168.19221967963
Fulham,Canada,7000,1.8421052631579,25000000,1.1904761904762,154.73684210526
Fulham,United Kingdom,200000,52.631578947368,49000000,2.3333333333332997,2255.6390977444
Fulham,Argentina,17000,4.4736842105263,34000000,1.6190476190476,276.31578947367996
Fulham,Australia,33000,8.6842105263158,17000000,0.80952380952381,1072.7554179567
Fulham,Austria,4800,1.2631578947368,4400000,0.20952380952381,602.87081339713
Fulham,Belgium,8800,2.3157894736842,7700000,0.36666666666666997,631.57894736842
Fulham,Brazil,38000,10.0,140000000,6.6666666666667,150.0
Fulham,Chile,5400,1.4210526315788998,15000000,0.71428571428571,198.94736842105
Fulham,China,1100,0.28947368421053005,3400000,0.16190476190476,178.79256965944
Fulham,Colombia,38000,10.0,36000000,1.7142857142857,583.33333333333
Fulham,Croatia,3700,0.9736842105263199,2100000,0.1,973.6842105263199
Fulham,Denmark,4300,1.1315789473684,4000000,0.19047619047619,594.07894736842
Fulham,Dominican Republic,3500,0.92105263157895,6400000,0.3047619047619,302.22039473684
Fulham,Egypt,100000,26.315789473684,44000000,2.0952380952381,1255.980861244
Fulham,Finland,1700,0.44736842105263,3300000,0.15714285714285997,284.68899521531
Fulham,France,29000,7.6315789473684,45000000,2.1428571428571,356.14035087719003
Fulham,Germany,36000,9.4736842105263,38000000,1.8095238095238,523.54570637119
Fulham,Greece,12000,3.1578947368421,6400000,0.3047619047619,1036.1842105263001
Fulham,Hong Kong,2600,0.6842105263157899,5700000,0.27142857142857,252.07756232687
Fulham,India,150000,39.473684210526,360000000,17.142857142857,230.26315789474
Fulham,Indonesia,55000,14.473684210525999,150000000,7.1428571428571,202.63157894737
Fulham,Ireland,12000,3.1578947368421,3200000,0.15238095238095,2072.3684210526003
Fulham,Israel,2200,0.57894736842105,5900000,0.28095238095238,206.06601248885
Fulham,Italy,81000,21.315789473684,36000000,1.7142857142857,1243.4210526316
Fulham,Japan,36000,9.4736842105263,45000000,2.1428571428571,442.10526315789
Fulham,Jordan,4300,1.1315789473684,5700000,0.27142857142857,416.89750692521005
Fulham,Kuwait,3100,0.8157894736842101,4200000,0.2,407.89473684211
Fulham,Lebanon,1800,0.47368421052632004,3800000,0.18095238095238,261.7728531856
Fulham,Malaysia,25000,6.578947368421099,26000000,1.2380952380952,531.37651821862
Fulham,Mexico,74000,19.473684210526,92000000,4.3809523809524,444.50800915332
Fulham,Netherlands,14000,3.6842105263158,11000000,0.5238095238095201,703.3492822966499
Fulham,New Zealand,1800,0.47368421052632004,3500000,0.16666666666667002,284.21052631579
Fulham,Nigeria,57000,15.0,29000000,1.3809523809524,1086.2068965517
Fulham,Norway,5700,1.5,3700000,0.17619047619048,851.35135135135
Fulham,Pakistan,160000,42.105263157895,41000000,1.9523809523809998,2156.6110397946
