Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
Man Utd,United States,1900000,47.5,230000000,10.952380952381,433.69565217391
Man Utd,Canada,300000,7.5,25000000,1.1904761904762,630.0
Man Utd,United Kingdom,3700000,92.5,49000000,2.3333333333332997,3964.2857142857
Man Utd,Argentina,1100000,27.5,34000000,1.6190476190476,1698.5294117647
Man Utd,Australia,380000,9.5,17000000,0.80952380952381,1173.5294117647
Man Utd,Austria,110000,2.75,4400000,0.20952380952381,1312.5
Man Utd,Belgium,290000,7.25,7700000,0.36666666666666997,1977.2727272727
Man Utd,Brazil,4600000,115.0,140000000,6.6666666666667,1725.0
Man Utd,Chile,430000,10.75,15000000,0.71428571428571,1505.0
Man Utd,China,30000,0.75,3400000,0.16190476190476,463.23529411764997
Man Utd,Colombia,1700000,42.5,36000000,1.7142857142857,2479.1666666667
Man Utd,Croatia,87000,2.175,2100000,0.1,2175.0
Man Utd,Denmark,170000,4.25,4000000,0.19047619047619,2231.25
Man Utd,Dominican Republic,220000,5.5,6400000,0.3047619047619,1804.6875
Man Utd,Egypt,1500000,37.5,44000000,2.0952380952381,1789.7727272727
Man Utd,Finland,43000,1.075,3300000,0.15714285714285997,684.0909090909099
Man Utd,France,980000,24.5,45000000,2.1428571428571,1143.3333333333
Man Utd,Germany,740000,18.5,38000000,1.8095238095238,1022.3684210526
Man Utd,Greece,200000,5.0,6400000,0.3047619047619,1640.625
Man Utd,Hong Kong,120000,3.0,5700000,0.27142857142857,1105.2631578947
Man Utd,India,5700000,142.5,360000000,17.142857142857,831.25
Man Utd,Indonesia,6800000,170.0,150000000,7.1428571428571,2380.0
Man Utd,Ireland,360000,9.0,3200000,0.15238095238095,5906.25
Man Utd,Israel,110000,2.75,5900000,0.28095238095238,978.8135593220301
Man Utd,Italy,1400000,35.0,36000000,1.7142857142857,2041.6666666667002
Man Utd,Japan,240000,6.0,45000000,2.1428571428571,280.0
Man Utd,Jordan,140000,3.5,5700000,0.27142857142857,1289.4736842105
Man Utd,Kuwait,69000,1.725,4200000,0.2,862.5
Man Utd,Lebanon,72000,1.8,3800000,0.18095238095238,994.73684210526
Man Utd,Malaysia,1700000,42.5,26000000,1.2380952380952,3432.6923076923
Man Utd,Mexico,3800000,95.0,92000000,4.3809523809524,2168.4782608696
Man Utd,Netherlands,450000,11.25,11000000,0.5238095238095201,2147.7272727273003
Man Utd,New Zealand,57000,1.425,3500000,0.16666666666667002,855.0
Man Utd,Nigeria,2700000,67.5,29000000,1.3809523809524,4887.9310344828
Man Utd,Norway,190000,4.75,3700000,0.17619047619048,2695.9459459459
Man Utd,Pakistan,720000,18.0,41000000,1.9523809523809998,921.9512195122
Man Utd,Panama,58000,1.45,2600000,0.12380952380952001,1171.1538461538
Man Utd,Peru,780000,19.5,24000000,1.1428571428571002,1706.25
Man Utd,Philippines,490000,12.25,78000000,3.7142857142857,329.80769230769
Man Utd,Poland,530000,13.25,20000000,0.95238095238095,1391.25
Man Utd,Russia,700000,17.5,58000000,2.7619047619048,633.6206896551699
Man Utd,Saudi Arabia,240000,6.0,25000000,1.1904761904762,504.0
Man Utd,Serbia,110000,2.75,3800000,0.18095238095238,1519.7368421053
Man Utd,Singapore,240000,6.0,4600000,0.21904761904762,2739.1304347826
Man Utd,South Africa,920000,23.0,22000000,1.047619047619,2195.4545454545
Man Utd,South Korea,410000,10.25,21000000,1.0,1025.0
Man Utd,Spain,650000,16.25,35000000,1.6666666666667,975.0
Man Utd,Sweden,190000,4.75,7200000,0.34285714285714003,1385.4166666667002
Man Utd,Switzerland,120000,3.0,4800000,0.22857142857143,1312.5
Man Utd,Taiwan,92000,2.3,18000000,0.85714285714286,268.33333333332996
Man Utd,Thailand,2100000,52.5,51000000,2.4285714285714,2161.7647058824
Man Utd,Turkey,1900000,47.5,56000000,2.6666666666667003,1781.25
Man Utd,United Arab Emirates,240000,6.0,10000000,0.47619047619048,1260.0
Man Utd,Venezuela,420000,10.5,13000000,0.61904761904762,1696.1538461538
Man Utd,Portugal,420000,10.5,7600000,0.36190476190476,2901.3157894737
Man Utd,Luxembourg,16000,0.4,390000,0.018571428571429002,2153.8461538461997
Man Utd,Bulgaria,160000,4.0,3900000,0.18571428571429,2153.8461538461997
Man Utd,Czech Republic,99000,2.475,5800000,0.27619047619048,896.1206896551699
Man Utd,Slovenia,36000,0.9,1100000,0.05238095238095201,1718.1818181817998
Man Utd,Iceland,28000,0.7,280000,0.013333333333333,5250.0
Man Utd,Slovakia,74000,1.85,2900000,0.13809523809524,1339.6551724138
Man Utd,Lithuania,23000,0.575,1800000,0.08571428571428599,670.83333333333
Man Utd,Trinidad and Tobago,40000,1.0,900000,0.042857142857142996,2333.3333333333
Man Utd,Bangladesh,520000,13.0,40000000,1.9047619047619,682.5
Man Utd,Sri Lanka,71000,1.775,7200000,0.34285714285714003,517.70833333333
Man Utd,Kenya,1000000,25.0,9900000,0.47142857142857,5303.0303030303
Man Utd,Hungary,170000,4.25,6500000,0.30952380952381,1373.0769230769001
Man Utd,Morocco,700000,17.5,19000000,0.9047619047619,1934.2105263157998
Man Utd,Cyprus,43000,1.075,1000000,0.04761904761904799,2257.5
Man Utd,Jamaica,81000,2.025,1400000,0.066666666666667,3037.5
Man Utd,Ecuador,630000,15.75,13000000,0.61904761904762,2544.2307692308
Man Utd,Romania,190000,4.75,11000000,0.5238095238095201,906.81818181818
Man Utd,Bolivia,230000,5.75,7200000,0.34285714285714003,1677.0833333332998
Man Utd,Guatemala,270000,6.75,8000000,0.38095238095238,1771.875
Man Utd,Costa Rica,180000,4.5,3600000,0.17142857142857001,2625.0
Man Utd,Qatar,64000,1.6,2900000,0.13809523809524,1158.6206896552
Man Utd,El Salvador,170000,4.25,3900000,0.18571428571429,2288.4615384615
Man Utd,Honduras,190000,4.75,4200000,0.2,2375.0
Man Utd,Nicaragua,130000,3.25,3100000,0.14761904761905,2201.6129032258
Man Utd,Paraguay,130000,3.25,3900000,0.18571428571429,1750.0
Man Utd,Uruguay,110000,2.75,2700000,0.12857142857143,2138.8888888889
Man Utd,Puerto Rico,59000,1.475,2000000,0.095238095238095,1548.75
Man Utd,Bosnia and Herzegovina,62000,1.55,1700000,0.080952380952381,1914.7058823529
Man Utd,Palestine,48000,1.2,2700000,0.12857142857143,933.3333333333301
Man Utd,Tunisia,360000,9.0,7500000,0.35714285714286,2520.0
Man Utd,Bahrain,79000,1.975,1400000,0.066666666666667,2962.5
Man Utd,Vietnam,8100000,202.5,64000000,3.047619047619,6644.53125
Man Utd,Ghana,500000,12.5,7200000,0.34285714285714003,3645.8333333333003
Man Utd,Mauritius,130000,3.25,880000,0.041904761904762,7755.681818181801
Man Utd,Ukraine,190000,4.75,20000000,0.95238095238095,498.75
Man Utd,Malta,41000,1.025,400000,0.019047619047619,5381.25
Man Utd,The Bahamas,1300,0.0325,250000,0.011904761904761998,273.0
Man Utd,Maldives,38000,0.95,360000,0.017142857142857,5541.666666666701
Man Utd,Oman,34000,0.85,2900000,0.13809523809524,615.51724137931
Man Utd,Macedonia,72000,1.8,1100000,0.05238095238095201,3436.3636363635997
Man Utd,Latvia,7800,0.195,1100000,0.05238095238095201,372.2727272727299
Man Utd,Estonia,9900,0.2475,770000,0.036666666666667,675.0
Man Utd,Iraq,440000,11.0,23000000,1.0952380952381,1004.3478260869999
Man Utd,Algeria,740000,18.5,23000000,1.0952380952381,1689.1304347826
Man Utd,Albania,74000,1.85,1500000,0.071428571428571,2590.0
Man Utd,Nepal,270000,6.75,11000000,0.5238095238095201,1288.6363636364
Man Utd,Macau,7500,0.1875,410000,0.019523809523810002,960.36585365854
Man Utd,Montenegro,10000,0.25,400000,0.019047619047619,1312.5
Man Utd,Senegal,230000,5.75,3500000,0.16666666666667002,3450.0
Man Utd,Georgia,57000,1.425,2900000,0.13809523809524,1031.8965517241
Man Utd,Brunei,40000,1.0,410000,0.019523809523810002,5121.9512195122
Man Utd,Uganda,360000,9.0,3100000,0.14761904761905,6096.7741935484
Man Utd,Guadeloupe,4400,0.11,230000,0.010952380952381,1004.3478260869999
Man Utd,Barbados,10000,0.25,190000,0.009047619047618999,2763.1578947368
Man Utd,Azerbaijan,78000,1.95,3900000,0.18571428571429,1050.0
Man Utd,Tanzania,380000,9.5,5000000,0.23809523809524,3990.0
Man Utd,Libya,130000,3.25,5500000,0.26190476190476003,1240.9090909091
Man Utd,Martinique,4200,0.105,220000,0.01047619047619,1002.2727272727001
Man Utd,Cameroon,130000,3.25,4000000,0.19047619047619,1706.25
Man Utd,Botswana,120000,3.0,1100000,0.05238095238095201,5727.272727272701
Man Utd,Ethiopia,500000,12.5,6500000,0.30952380952381,4038.4615384615004
Man Utd,Kazakhstan,300000,7.5,10000000,0.47619047619048,1575.0
Man Utd,Namibia,77000,1.925,760000,0.036190476190475995,5319.0789473684
Man Utd,Madagascar,97000,2.425,2500000,0.11904761904762,2037.0
Man Utd,New Caledonia,2300,0.0575,190000,0.009047619047618999,635.52631578947
Man Utd,Moldova,8100,0.2025,1500000,0.071428571428571,283.5
Man Utd,Fiji,19000,0.475,550000,0.026190476190476004,1813.6363636364001
Man Utd,Belarus,20000,0.5,3500000,0.16666666666667002,300.0
Man Utd,Jersey,6200,0.155,71000,0.0033809523809524,4584.5070422535
Man Utd,Guam,1000,0.025,150000,0.0071428571428571,350.0
Man Utd,Yemen,24000,0.6,3000000,0.14285714285714002,420.0
Man Utd,Zambia,210000,5.25,2300000,0.10952380952381,4793.4782608696005
Man Utd,Isle Of Man,6200,0.155,57000,0.0027142857142857,5710.5263157895
Man Utd,Haiti,66000,1.65,2100000,0.1,1650.0
Man Utd,Cambodia,240000,6.0,11000000,0.5238095238095201,1145.4545454545
Man Utd,Aruba,3000,0.075,95000,0.0045238095238095,1657.8947368421
Man Utd,French Polynesia,5000,0.125,190000,0.009047619047618999,1381.5789473684
Man Utd,Afghanistan,74000,1.85,4200000,0.2,925.0
Man Utd,Bermuda,3600,0.09,44000,0.0020952380952381,4295.4545454545005
Man Utd,Guyana,7500,0.1875,460000,0.021904761904762,855.97826086957
Man Utd,Armenia,63000,1.575,1600000,0.076190476190476,2067.1875
Man Utd,Malawi,53000,1.325,580000,0.027619047619047998,4797.4137931034
Man Utd,Antigua,3800,0.095,63000,0.003,3166.6666666666997
Man Utd,Rwanda,52000,1.3,730000,0.034761904761905,3739.7260273972997
Man Utd,Guernsey,3500,0.0875,41000,0.001952380952381,4481.7073170732
Man Utd,The Gambia,38000,0.95,400000,0.019047619047619,4987.5
Man Utd,Faroe Islands,5200,0.13,37000,0.0017619047619048,7378.378378378399
Man Utd,St. Lucia,5800,0.145,110000,0.0052380952380952,2768.1818181818
Man Utd,Cayman Islands,2200,0.055,57000,0.0027142857142857,2026.3157894736999
Man Utd,Benin,46000,1.15,1400000,0.066666666666667,1725.0
Man Utd,Andorra,1600,0.04,52000,0.0024761904761905,1615.3846153846
Man Utd,Grenada,2200,0.055,70000,0.0033333333333333,1650.0
Man Utd,US Virgin Islands,1000,0.025,30000,0.0014285714285714,1750.0
Man Utd,Belize,6100,0.1525,240000,0.011428571428571002,1334.375
Man Utd,Saint Vincent and the Grenadines,2200,0.055,71000,0.0033809523809524,1626.7605633803
Man Utd,Mongolia,30000,0.75,2400000,0.11428571428571001,656.25
Man Utd,Mozambique,120000,3.0,2300000,0.10952380952381,2739.1304347826
Man Utd,Mali,85000,2.125,1900000,0.09047619047619,2348.6842105263
Man Utd,Angola,200000,5.0,2600000,0.12380952380952001,4038.4615384615004
Man Utd,French Guiana,3400,0.085,120000,0.0057142857142857,1487.5
Man Utd,Uzbekistan,43000,1.075,4000000,0.19047619047619,564.375
Man Utd,Djibouti,11000,0.275,230000,0.010952380952381,2510.8695652174
Man Utd,Burkina Faso,64000,1.6,1900000,0.09047619047619,1768.4210526316
Man Utd,Monaco,1000,0.025,12000,0.0005714285714285701,4375.0
Man Utd,Togo,29000,0.725,800000,0.038095238095238,1903.125
Man Utd,Greenland,4700,0.1175,41000,0.001952380952381,6018.292682926801
Man Utd,Gabon,22000,0.55,780000,0.037142857142857,1480.7692307692
Man Utd,Gibraltar,2600,0.065,26000,0.0012380952380952,5250.0
Man Utd,Democratic Republic of the Congo,150000,3.75,3500000,0.16666666666667002,2250.0
Man Utd,Kyrgyzstan,16000,0.4,2700000,0.12857142857143,311.11111111111
Man Utd,Papua New Guinea,8500,0.2125,820000,0.039047619047619,544.20731707317
Man Utd,Bhutan,23000,0.575,450000,0.021428571428571,2683.3333333333
Man Utd,Saint Kitts and Nevis,1400,0.035,38000,0.0018095238095238,1934.2105263157998
Man Utd,Swaziland,19000,0.475,300000,0.014285714285713997,3325.0
Man Utd,Lesotho,15000,0.375,430000,0.02047619047619,1831.3953488372001
Man Utd,Laos,98000,2.45,3100000,0.14761904761905,1659.6774193548001
Man Utd,Liechtenstein,1000,0.025,15000,0.00071428571428571,3500.0
Man Utd,Northern Mariana Islands,1000,0.025,35000,0.0016666666666667,1500.0
Man Utd,Suriname,20000,0.5,360000,0.017142857142857,2916.6666666666997
Man Utd,Seychelles,5500,0.1375,70000,0.0033333333333333,4125.0
Man Utd,British Virgin Islands,1000,0.025,24000,0.0011428571428571,2187.5
Man Utd,Turks and Caicos Islands,1000,0.025,32000,0.0015238095238095,1640.625
Man Utd,Dominica,2400,0.06,39000,0.0018571428571429,3230.7692307692
Man Utd,Mauritania,30000,0.75,830000,0.03952380952381,1897.5903614457998
Man Utd,Aland Islands,1000,0.025,1000,4.7619047619048e-05,52500.0
Man Utd,San Marino,1000,0.025,14000,0.00066666666666667,3750.0
Man Utd,Sierra Leone,100000,2.5,780000,0.037142857142857,6730.7692307692005
Man Utd,Niger,21000,0.525,550000,0.026190476190476004,2004.5454545455
Man Utd,Republic of the Congo,25000,0.625,770000,0.036666666666667,1704.5454545455
