Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
Newcastle,United States,350000,25.0,230000000,10.952380952381,228.26086956522002
Newcastle,Canada,31000,2.2142857142857,25000000,1.1904761904762,186.0
Newcastle,United Kingdom,1100000,78.57142857142901,49000000,2.3333333333332997,3367.3469387755
Newcastle,Argentina,160000,11.428571428571,34000000,1.6190476190476,705.88235294118
Newcastle,Australia,110000,7.8571428571429,17000000,0.80952380952381,970.5882352941198
Newcastle,Austria,41000,2.9285714285714,4400000,0.20952380952381,1397.7272727273
Newcastle,Belgium,28000,2.0,7700000,0.36666666666666997,545.45454545455
Newcastle,Brazil,180000,12.857142857143,140000000,6.6666666666667,192.85714285714002
Newcastle,Chile,8400,0.6,15000000,0.71428571428571,84.0
Newcastle,China,2000,0.14285714285714002,3400000,0.16190476190476,88.235294117647
Newcastle,Colombia,120000,8.5714285714286,36000000,1.7142857142857,500.0
Newcastle,Croatia,18000,1.2857142857143,2100000,0.1,1285.7142857142999
Newcastle,Denmark,17000,1.2142857142857,4000000,0.19047619047619,637.5
Newcastle,Dominican Republic,1700,0.12142857142857,6400000,0.3047619047619,39.84375
Newcastle,Egypt,58000,4.142857142857101,44000000,2.0952380952381,197.72727272727002
Newcastle,Finland,16000,1.1428571428571002,3300000,0.15714285714285997,727.27272727273
Newcastle,France,96000,6.8571428571429,45000000,2.1428571428571,320.0
Newcastle,Germany,210000,15.0,38000000,1.8095238095238,828.94736842105
Newcastle,Greece,38000,2.7142857142857,6400000,0.3047619047619,890.625
Newcastle,Hong Kong,6400,0.45714285714286,5700000,0.27142857142857,168.42105263158
Newcastle,India,890000,63.571428571429,360000000,17.142857142857,370.83333333333
Newcastle,Indonesia,100000,7.1428571428571,150000000,7.1428571428571,100.0
Newcastle,Ireland,70000,5.0,3200000,0.15238095238095,3281.25
Newcastle,Israel,26000,1.8571428571428998,5900000,0.28095238095238,661.0169491525401
Newcastle,Italy,230000,16.428571428571,36000000,1.7142857142857,958.3333333333301
Newcastle,Japan,21000,1.5,45000000,2.1428571428571,70.0
Newcastle,Jordan,4600,0.32857142857143,5700000,0.27142857142857,121.05263157895
Newcastle,Kuwait,6000,0.42857142857143,4200000,0.2,214.28571428571
Newcastle,Lebanon,2800,0.2,3800000,0.18095238095238,110.52631578946999
Newcastle,Malaysia,44000,3.1428571428571,26000000,1.2380952380952,253.84615384615
Newcastle,Mexico,37000,2.6428571428571,92000000,4.3809523809524,60.326086956522
Newcastle,Netherlands,51000,3.6428571428571,11000000,0.5238095238095201,695.45454545455
Newcastle,New Zealand,8400,0.6,3500000,0.16666666666667002,360.0
Newcastle,Nigeria,120000,8.5714285714286,29000000,1.3809523809524,620.68965517241
Newcastle,Norway,24000,1.7142857142857,3700000,0.17619047619048,972.97297297297
Newcastle,Pakistan,63000,4.5,41000000,1.9523809523809998,230.48780487805
Newcastle,Panama,1200,0.08571428571428599,2600000,0.12380952380952001,69.230769230769
Newcastle,Peru,16000,1.1428571428571002,24000000,1.1428571428571002,100.0
Newcastle,Philippines,42000,3.0,78000000,3.7142857142857,80.769230769231
Newcastle,Poland,100000,7.1428571428571,20000000,0.95238095238095,750.0
Newcastle,Russia,19000,1.3571428571428998,58000000,2.7619047619048,49.137931034483
Newcastle,Saudi Arabia,21000,1.5,25000000,1.1904761904762,126.0
Newcastle,Serbia,15000,1.0714285714286,3800000,0.18095238095238,592.10526315789
Newcastle,Singapore,18000,1.2857142857143,4600000,0.21904761904762,586.9565217391299
Newcastle,South Africa,68000,4.8571428571429,22000000,1.047619047619,463.63636363635993
Newcastle,South Korea,24000,1.7142857142857,21000000,1.0,171.42857142857
Newcastle,Spain,490000,35.0,35000000,1.6666666666667,2100.0
Newcastle,Sweden,38000,2.7142857142857,7200000,0.34285714285714003,791.66666666667
Newcastle,Switzerland,19000,1.3571428571428998,4800000,0.22857142857143,593.75
Newcastle,Taiwan,1300,0.092857142857143,18000000,0.85714285714286,10.833333333333002
Newcastle,Thailand,37000,2.6428571428571,51000000,2.4285714285714,108.82352941176
Newcastle,Turkey,1000000,71.42857142857099,56000000,2.6666666666667003,2678.5714285714002
Newcastle,United Arab Emirates,43000,3.0714285714286,10000000,0.47619047619048,645.0
Newcastle,Venezuela,8000,0.57142857142857,13000000,0.61904761904762,92.307692307692
Newcastle,Portugal,22000,1.5714285714286,7600000,0.36190476190476,434.21052631579005
Newcastle,Luxembourg,1000,0.071428571428571,390000,0.018571428571429002,384.6153846153799
Newcastle,Bulgaria,9700,0.69285714285714,3900000,0.18571428571429,373.07692307692
Newcastle,Czech Republic,55000,3.9285714285714,5800000,0.27619047619048,1422.4137931034
Newcastle,Slovenia,10000,0.71428571428571,1100000,0.05238095238095201,1363.6363636364
Newcastle,Iceland,1700,0.12142857142857,280000,0.013333333333333,910.71428571429
Newcastle,Slovakia,16000,1.1428571428571002,2900000,0.13809523809524,827.58620689655
Newcastle,Lithuania,7300,0.52142857142857,1800000,0.08571428571428599,608.33333333333
Newcastle,Trinidad and Tobago,1300,0.092857142857143,900000,0.042857142857142996,216.66666666667
Newcastle,Bangladesh,48000,3.4285714285714,40000000,1.9047619047619,180.0
Newcastle,Sri Lanka,6800,0.48571428571429,7200000,0.34285714285714003,141.66666666667
Newcastle,Kenya,32000,2.2857142857143,9900000,0.47142857142857,484.84848484848
Newcastle,Hungary,33000,2.3571428571429,6500000,0.30952380952381,761.53846153846
Newcastle,Morocco,31000,2.2142857142857,19000000,0.9047619047619,244.73684210526
Newcastle,Cyprus,7300,0.52142857142857,1000000,0.04761904761904799,1095.0
Newcastle,Jamaica,3200,0.22857142857143,1400000,0.066666666666667,342.85714285714
Newcastle,Ecuador,4300,0.30714285714286,13000000,0.61904761904762,49.615384615385
Newcastle,Romania,13000,0.92857142857143,11000000,0.5238095238095201,177.27272727272998
Newcastle,Bolivia,30000,2.1428571428571,7200000,0.34285714285714003,625.0
Newcastle,Guatemala,6100,0.43571428571429,8000000,0.38095238095238,114.375
Newcastle,Costa Rica,3400,0.24285714285714,3600000,0.17142857142857001,141.66666666667
Newcastle,Qatar,3200,0.22857142857143,2900000,0.13809523809524,165.51724137931
Newcastle,El Salvador,4700,0.33571428571429,3900000,0.18571428571429,180.76923076923
Newcastle,Honduras,1600,0.11428571428571001,4200000,0.2,57.142857142857
Newcastle,Nicaragua,1200,0.08571428571428599,3100000,0.14761904761905,58.064516129032
Newcastle,Paraguay,33000,2.3571428571429,3900000,0.18571428571429,1269.2307692308
Newcastle,Uruguay,3500,0.25,2700000,0.12857142857143,194.44444444444
Newcastle,Puerto Rico,1000,0.071428571428571,2000000,0.095238095238095,75.0
Newcastle,Bosnia and Herzegovina,4300,0.30714285714286,1700000,0.080952380952381,379.41176470588
Newcastle,Palestine,1600,0.11428571428571001,2700000,0.12857142857143,88.88888888888901
Newcastle,Tunisia,35000,2.5,7500000,0.35714285714286,700.0
Newcastle,Bahrain,1800,0.12857142857143,1400000,0.066666666666667,192.85714285714002
Newcastle,Vietnam,35000,2.5,64000000,3.047619047619,82.03125
Newcastle,Ghana,68000,4.8571428571429,7200000,0.34285714285714003,1416.6666666667002
Newcastle,Mauritius,4000,0.28571428571429,880000,0.041904761904762,681.81818181818
Newcastle,Ukraine,4700,0.33571428571429,20000000,0.95238095238095,35.25
Newcastle,Malta,3800,0.27142857142857,400000,0.019047619047619,1425.0
Newcastle,The Bahamas,1000,0.071428571428571,250000,0.011904761904761998,600.0
Newcastle,Maldives,3600,0.25714285714286,360000,0.017142857142857,1500.0
Newcastle,Oman,2300,0.16428571428570998,2900000,0.13809523809524,118.96551724138
Newcastle,Macedonia,2800,0.2,1100000,0.05238095238095201,381.81818181818
Newcastle,Latvia,2700,0.19285714285714,1100000,0.05238095238095201,368.18181818182
Newcastle,Estonia,2400,0.17142857142857001,770000,0.036666666666667,467.53246753247004
Newcastle,Iraq,18000,1.2857142857143,23000000,1.0952380952381,117.39130434783002
Newcastle,Algeria,58000,4.142857142857101,23000000,1.0952380952381,378.26086956522005
Newcastle,Albania,2400,0.17142857142857001,1500000,0.071428571428571,240.0
