Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
Aston Villa,In High School,4500,0.3,170000,0.3469387755102,86.470588235294
Aston Villa,Some High School,44000,2.9333333333333,1300000,2.6530612244897998,110.5641025641
Aston Villa,High School Grad,250000,16.666666666667,6400000,13.061224489796,127.60416666667
Aston Villa,Undergrad,35000,2.3333333333332997,1400000,2.8571428571429,81.666666666667
Aston Villa,Alum,480000,32.0,13000000,26.530612244898,120.61538461538
Aston Villa,Some College,51000,3.4,1600000,3.265306122449,104.125
Aston Villa,Associate Degree,1000,0.066666666666667,1000,0.0020408163265306,3266.6666666666997
Aston Villa,In Grad School,1300,0.08666666666666702,84000,0.17142857142857001,50.555555555556005
Aston Villa,Some Grad School,3700,0.24666666666667003,180000,0.36734693877551006,67.148148148148
Aston Villa,Master´s Degree,26000,1.7333333333333,1100000,2.2448979591837,77.212121212121
Aston Villa,Professional Degree,1000,0.066666666666667,22000,0.044897959183672995,148.48484848485
Aston Villa,Doctorate Degree,1000,0.066666666666667,38000,0.077551020408163,85.964912280702
