Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
Burnley,In High School,1200,0.54545454545455,170000,0.3469387755102,157.21925133690002
Burnley,Some High School,8600,3.9090909090909,1300000,2.6530612244897998,147.34265734266
Burnley,High School Grad,43000,19.545454545455,6400000,13.061224489796,149.64488636363998
Burnley,Undergrad,9300,4.2272727272727,1400000,2.8571428571429,147.95454545455
Burnley,Alum,98000,44.545454545455,13000000,26.530612244898,167.9020979021
Burnley,Some College,12000,5.4545454545455,1600000,3.265306122449,167.04545454545
Burnley,Associate Degree,1000,0.45454545454545,1000,0.0020408163265306,22272.727272727003
Burnley,In Grad School,1000,0.45454545454545,84000,0.17142857142857001,265.15151515152
Burnley,Some Grad School,1000,0.45454545454545,180000,0.36734693877551006,123.73737373736999
Burnley,Master´s Degree,5700,2.5909090909091,1100000,2.2448979591837,115.4132231405
Burnley,Professional Degree,1000,0.45454545454545,22000,0.044897959183672995,1012.3966942149001
Burnley,Doctorate Degree,1000,0.45454545454545,38000,0.077551020408163,586.12440191388
