Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
Chelsea,In High School,12000,0.375,170000,0.3469387755102,108.08823529411998
Chelsea,Some High School,77000,2.40625,1300000,2.6530612244897998,90.697115384615
Chelsea,High School Grad,390000,12.1875,6400000,13.061224489796,93.310546875
Chelsea,Undergrad,92000,2.875,1400000,2.8571428571429,100.625
Chelsea,Alum,800000,25.0,13000000,26.530612244898,94.230769230769
Chelsea,Some College,110000,3.4375,1600000,3.265306122449,105.2734375
Chelsea,Associate Degree,1000,0.03125,1000,0.0020408163265306,1531.25
Chelsea,In Grad School,3800,0.11875,84000,0.17142857142857001,69.270833333333
Chelsea,Some Grad School,9000,0.28125,180000,0.36734693877551006,76.5625
Chelsea,Master´s Degree,53000,1.65625,1100000,2.2448979591837,73.77840909090901
Chelsea,Professional Degree,1000,0.03125,22000,0.044897959183672995,69.602272727273
Chelsea,Doctorate Degree,1000,0.03125,38000,0.077551020408163,40.296052631579
