Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
Man Utd,In High School,18000,0.45,170000,0.3469387755102,129.70588235294
Man Utd,Some High School,130000,3.25,1300000,2.6530612244897998,122.5
Man Utd,High School Grad,650000,16.25,6400000,13.061224489796,124.4140625
Man Utd,Undergrad,130000,3.25,1400000,2.8571428571429,113.75
Man Utd,Alum,1300000,32.5,13000000,26.530612244898,122.5
Man Utd,Some College,170000,4.25,1600000,3.265306122449,130.15625
Man Utd,Associate Degree,1000,0.025,1000,0.0020408163265306,1225.0
Man Utd,In Grad School,5600,0.14,84000,0.17142857142857001,81.666666666667
Man Utd,Some Grad School,13000,0.325,180000,0.36734693877551006,88.472222222222
Man Utd,Master´s Degree,85000,2.125,1100000,2.2448979591837,94.65909090909099
Man Utd,Professional Degree,1400,0.035,22000,0.044897959183672995,77.954545454545
Man Utd,Doctorate Degree,1500,0.0375,38000,0.077551020408163,48.355263157895
