Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
Shef Utd,In High School,2200,0.59459459459459,170000,0.3469387755102,171.38314785373998
Shef Utd,Some High School,15000,4.0540540540541,1300000,2.6530612244897998,152.80665280665002
Shef Utd,High School Grad,75000,20.27027027027,6400000,13.061224489796,155.19425675676
Shef Utd,Undergrad,15000,4.0540540540541,1400000,2.8571428571429,141.89189189189
Shef Utd,Alum,150000,40.540540540541,13000000,26.530612244898,152.80665280665002
Shef Utd,Some College,20000,5.4054054054054,1600000,3.265306122449,165.54054054053998
Shef Utd,Associate Degree,1000,0.27027027027027,1000,0.0020408163265306,13243.243243243
Shef Utd,In Grad School,1000,0.27027027027027,84000,0.17142857142857001,157.65765765766
Shef Utd,Some Grad School,1200,0.32432432432432,180000,0.36734693877551006,88.288288288288
Shef Utd,Master´s Degree,7000,1.8918918918919,1100000,2.2448979591837,84.275184275184
Shef Utd,Professional Degree,1000,0.27027027027027,22000,0.044897959183672995,601.9656019656
Shef Utd,Doctorate Degree,1000,0.27027027027027,38000,0.077551020408163,348.50640113798
