Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
West Brom,In High School,1800,0.36734693877551006,170000,0.3469387755102,105.88235294118
West Brom,Some High School,20000,4.081632653061201,1300000,2.6530612244897998,153.84615384615
West Brom,High School Grad,110000,22.448979591837002,6400000,13.061224489796,171.875
West Brom,Undergrad,14000,2.8571428571429,1400000,2.8571428571429,100.0
West Brom,Alum,200000,40.816326530612,13000000,26.530612244898,153.84615384615
West Brom,Some College,22000,4.4897959183673,1600000,3.265306122449,137.5
West Brom,Associate Degree,1000,0.20408163265306,1000,0.0020408163265306,10000.0
West Brom,In Grad School,1000,0.20408163265306,84000,0.17142857142857001,119.04761904761999
West Brom,Some Grad School,1400,0.28571428571429,180000,0.36734693877551006,77.777777777778
West Brom,Master´s Degree,11000,2.2448979591837,1100000,2.2448979591837,100.0
West Brom,Professional Degree,1000,0.20408163265306,22000,0.044897959183672995,454.54545454544996
West Brom,Doctorate Degree,1000,0.20408163265306,38000,0.077551020408163,263.15789473684
