Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
West Ham,In High School,2800,0.38888888888889,170000,0.3469387755102,112.09150326796998
West Ham,Some High School,19000,2.6388888888889,1300000,2.6530612244897998,99.465811965812
West Ham,High School Grad,99000,13.75,6400000,13.061224489796,105.2734375
West Ham,Undergrad,20000,2.7777777777778,1400000,2.8571428571429,97.222222222222
West Ham,Alum,200000,27.777777777778002,13000000,26.530612244898,104.70085470084999
West Ham,Some College,25000,3.4722222222222,1600000,3.265306122449,106.33680555555999
West Ham,Associate Degree,1000,0.13888888888889,1000,0.0020408163265306,6805.5555555556
West Ham,In Grad School,1000,0.13888888888889,84000,0.17142857142857001,81.018518518519
West Ham,Some Grad School,1800,0.25,180000,0.36734693877551006,68.055555555556
West Ham,Master´s Degree,11000,1.5277777777777999,1100000,2.2448979591837,68.055555555556
West Ham,Professional Degree,1000,0.13888888888889,22000,0.044897959183672995,309.34343434343
West Ham,Doctorate Degree,1000,0.13888888888889,38000,0.077551020408163,179.09356725146
