Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
Leicester City,Business and Finance,7900,0.82291666666667,290000,0.59183673469388,139.04454022988998
Leicester City,Administrative Services,17000,1.7708333333333,670000,1.3673469387755,129.50870646766
Leicester City,Education and Libraries,4000,0.41666666666667,220000,0.4489795918367299,92.80303030303001
Leicester City,Management,14000,1.4583333333333,540000,1.1020408163265,132.33024691358
Leicester City,Sales,15000,1.5625,570000,1.1632653061223999,134.32017543860002
Leicester City,IT and Technical Services,6700,0.69791666666667,260000,0.5306122448979601,131.53044871795
Leicester City,Legal Services,1000,0.10416666666666999,15000,0.030612244897959,340.27777777778
Leicester City,"Arts, Entertainment, Sports and Media",9300,0.96875,350000,0.71428571428571,135.625
Leicester City,Production,13000,1.3541666666667,420000,0.85714285714286,157.98611111111
Leicester City,Transportation and Moving,6300,0.65625,200000,0.40816326530612,160.78125
Leicester City,Architecture and Engineering,5100,0.53125,160000,0.32653061224490004,162.6953125
Leicester City,Food and Restaurants,7600,0.79166666666667,1000,0.0020408163265306,38791.666666667
Leicester City,Construction and Extraction,6500,0.67708333333333,170000,0.3469387755102,195.15931372549
Leicester City,Healthcare and Medical Services,4000,0.41666666666667,1000,0.0020408163265306,20416.666666667
Leicester City,Installation and Repair Services,8500,0.88541666666667,270000,0.55102040816327,160.68672839506002
Leicester City,"Life, Physical and Social Sciences",5600,0.5833333333333299,220000,0.4489795918367299,129.92424242424
Leicester City,Computation and Mathematics,6700,0.69791666666667,260000,0.5306122448979601,131.53044871795
Leicester City,Community and Social Services,2100,0.21875,130000,0.26530612244898005,82.451923076923
Leicester City,Protective Services,2400,0.25,72000,0.14693877551020001,170.13888888889
Leicester City,"Farming, Fishing and Forestry",4800,0.5,150000,0.30612244897959,163.33333333333
Leicester City,Cleaning and Maintenance Services,3600,0.375,110000,0.22448979591837,167.04545454545
Leicester City,Military (Global),1000,0.10416666666666999,2300,0.0046938775510204,2219.2028985507
Leicester City,Veterans (US),1000,0.10416666666666999,1700,0.003469387755102,3002.4509803921997
Leicester City,Government Employees (Global),1000,0.10416666666666999,9600,0.019591836734694,531.68402777778
