Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
Liverpool,Business and Finance,49000,0.94230769230769,290000,0.59183673469388,159.21750663129998
Liverpool,Administrative Services,110000,2.1153846153846003,670000,1.3673469387755,154.70723306544
Liverpool,Education and Libraries,29000,0.55769230769231,220000,0.4489795918367299,124.21328671328999
Liverpool,Management,87000,1.6730769230769,540000,1.1020408163265,151.81623931623997
Liverpool,Sales,95000,1.8269230769231,570000,1.1632653061223999,157.05128205128
Liverpool,IT and Technical Services,41000,0.78846153846154,260000,0.5306122448979601,148.59467455621
Liverpool,Legal Services,2500,0.048076923076922996,15000,0.030612244897959,157.05128205128
Liverpool,"Arts, Entertainment, Sports and Media",57000,1.0961538461538,350000,0.71428571428571,153.46153846154
Liverpool,Production,83000,1.5961538461538003,420000,0.85714285714286,186.21794871794998
Liverpool,Transportation and Moving,41000,0.78846153846154,200000,0.40816326530612,193.17307692307998
Liverpool,Architecture and Engineering,31000,0.5961538461538499,160000,0.32653061224490004,182.57211538462
Liverpool,Food and Restaurants,51000,0.98076923076923,1000,0.0020408163265306,48057.692307692
Liverpool,Construction and Extraction,40000,0.76923076923077,170000,0.3469387755102,221.71945701357004
Liverpool,Healthcare and Medical Services,32000,0.61538461538462,1000,0.0020408163265306,30153.846153846
Liverpool,Installation and Repair Services,56000,1.0769230769231,270000,0.55102040816327,195.4415954416
Liverpool,"Life, Physical and Social Sciences",34000,0.6538461538461501,220000,0.4489795918367299,145.62937062937002
Liverpool,Computation and Mathematics,41000,0.78846153846154,260000,0.5306122448979601,148.59467455621
Liverpool,Community and Social Services,15000,0.28846153846154,130000,0.26530612244898005,108.72781065089
Liverpool,Protective Services,14000,0.26923076923077,72000,0.14693877551020001,183.22649572650002
Liverpool,"Farming, Fishing and Forestry",31000,0.5961538461538499,150000,0.30612244897959,194.74358974358998
Liverpool,Cleaning and Maintenance Services,22000,0.42307692307691996,110000,0.22448979591837,188.46153846154
Liverpool,Military (Global),1000,0.019230769230768996,2300,0.0046938775510204,409.69899665552003
Liverpool,Veterans (US),1000,0.019230769230768996,1700,0.003469387755102,554.2986425339401
Liverpool,Government Employees (Global),1400,0.026923076923077004,9600,0.019591836734694,137.41987179487
