Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
Tottenham Hotspur,Business and Finance,12000,0.63157894736842,290000,0.59183673469388,106.71506352087
Tottenham Hotspur,Administrative Services,26000,1.3684210526316003,670000,1.3673469387755,100.07855459544001
Tottenham Hotspur,Education and Libraries,6500,0.34210526315788997,220000,0.4489795918367299,76.196172248804
Tottenham Hotspur,Management,21000,1.1052631578947,540000,1.1020408163265,100.29239766081999
Tottenham Hotspur,Sales,23000,1.2105263157895,570000,1.1632653061223999,104.06278855032
Tottenham Hotspur,IT and Technical Services,9800,0.51578947368421,260000,0.5306122448979601,97.206477732794
Tottenham Hotspur,Legal Services,1000,0.052631578947367995,15000,0.030612244897959,171.92982456139998
Tottenham Hotspur,"Arts, Entertainment, Sports and Media",15000,0.7894736842105301,350000,0.71428571428571,110.52631578946999
Tottenham Hotspur,Production,19000,1.0,420000,0.85714285714286,116.66666666667
Tottenham Hotspur,Transportation and Moving,9000,0.47368421052632004,200000,0.40816326530612,116.05263157895
Tottenham Hotspur,Architecture and Engineering,6900,0.36315789473684007,160000,0.32653061224490004,111.21710526316002
Tottenham Hotspur,Food and Restaurants,12000,0.63157894736842,1000,0.0020408163265306,30947.368421052997
Tottenham Hotspur,Construction and Extraction,9500,0.5,170000,0.3469387755102,144.11764705882
Tottenham Hotspur,Healthcare and Medical Services,7000,0.36842105263158004,1000,0.0020408163265306,18052.631578947
Tottenham Hotspur,Installation and Repair Services,12000,0.63157894736842,270000,0.55102040816327,114.61988304094
Tottenham Hotspur,"Life, Physical and Social Sciences",8200,0.43157894736842,220000,0.4489795918367299,96.124401913876
Tottenham Hotspur,Computation and Mathematics,9800,0.51578947368421,260000,0.5306122448979601,97.206477732794
Tottenham Hotspur,Community and Social Services,3500,0.18421052631579002,130000,0.26530612244898005,69.43319838056699
Tottenham Hotspur,Protective Services,3700,0.19473684210526002,72000,0.14693877551020001,132.52923976608
Tottenham Hotspur,"Farming, Fishing and Forestry",6800,0.35789473684211,150000,0.30612244897959,116.91228070174999
Tottenham Hotspur,Cleaning and Maintenance Services,5000,0.26315789473684,110000,0.22448979591837,117.22488038278
Tottenham Hotspur,Military (Global),1000,0.052631578947367995,2300,0.0046938775510204,1121.2814645309
Tottenham Hotspur,Veterans (US),1000,0.052631578947367995,1700,0.003469387755102,1517.0278637770998
Tottenham Hotspur,Government Employees (Global),1000,0.052631578947367995,9600,0.019591836734694,268.64035087719
