Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
Aston Villa,Business and Finance,14000,0.93333333333333,290000,0.59183673469388,157.70114942529
Aston Villa,Administrative Services,29000,1.9333333333333,670000,1.3673469387755,141.39303482587
Aston Villa,Education and Libraries,6600,0.44,220000,0.4489795918367299,98.0
Aston Villa,Management,25000,1.6666666666667,540000,1.1020408163265,151.23456790123
Aston Villa,Sales,26000,1.7333333333333,570000,1.1632653061223999,149.00584795321998
Aston Villa,IT and Technical Services,12000,0.8,260000,0.5306122448979601,150.76923076923
Aston Villa,Legal Services,1000,0.066666666666667,15000,0.030612244897959,217.77777777778
Aston Villa,"Arts, Entertainment, Sports and Media",16000,1.0666666666667,350000,0.71428571428571,149.33333333333
Aston Villa,Production,22000,1.4666666666666999,420000,0.85714285714286,171.11111111111
Aston Villa,Transportation and Moving,11000,0.73333333333333,200000,0.40816326530612,179.66666666667
Aston Villa,Architecture and Engineering,9100,0.60666666666667,160000,0.32653061224490004,185.79166666667
Aston Villa,Food and Restaurants,13000,0.86666666666667,1000,0.0020408163265306,42466.666666667
Aston Villa,Construction and Extraction,12000,0.8,170000,0.3469387755102,230.58823529412004
Aston Villa,Healthcare and Medical Services,6600,0.44,1000,0.0020408163265306,21560.0
Aston Villa,Installation and Repair Services,15000,1.0,270000,0.55102040816327,181.48148148148
Aston Villa,"Life, Physical and Social Sciences",9600,0.64,220000,0.4489795918367299,142.54545454545
Aston Villa,Computation and Mathematics,12000,0.8,260000,0.5306122448979601,150.76923076923
Aston Villa,Community and Social Services,3500,0.23333333333332998,130000,0.26530612244898005,87.948717948718
Aston Villa,Protective Services,4200,0.28,72000,0.14693877551020001,190.55555555556
Aston Villa,"Farming, Fishing and Forestry",8100,0.54,150000,0.30612244897959,176.4
Aston Villa,Cleaning and Maintenance Services,6100,0.40666666666667,110000,0.22448979591837,181.15151515152002
Aston Villa,Military (Global),1000,0.066666666666667,2300,0.0046938775510204,1420.2898550725
Aston Villa,Veterans (US),1000,0.066666666666667,1700,0.003469387755102,1921.568627451
Aston Villa,Government Employees (Global),1000,0.066666666666667,9600,0.019591836734694,340.27777777778
