Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
Chelsea,Business and Finance,25000,0.78125,290000,0.59183673469388,132.00431034483
Chelsea,Administrative Services,53000,1.65625,670000,1.3673469387755,121.12873134328001
Chelsea,Education and Libraries,13000,0.40625,220000,0.4489795918367299,90.482954545455
Chelsea,Management,43000,1.34375,540000,1.1020408163265,121.93287037036998
Chelsea,Sales,48000,1.5,570000,1.1632653061223999,128.94736842105
Chelsea,IT and Technical Services,20000,0.625,260000,0.5306122448979601,117.78846153846001
Chelsea,Legal Services,1400,0.04375,15000,0.030612244897959,142.91666666667
Chelsea,"Arts, Entertainment, Sports and Media",29000,0.90625,350000,0.71428571428571,126.875
Chelsea,Production,38000,1.1875,420000,0.85714285714286,138.54166666667
Chelsea,Transportation and Moving,17000,0.53125,200000,0.40816326530612,130.15625
Chelsea,Architecture and Engineering,14000,0.4375,160000,0.32653061224490004,133.984375
Chelsea,Food and Restaurants,24000,0.75,1000,0.0020408163265306,36750.0
Chelsea,Construction and Extraction,18000,0.5625,170000,0.3469387755102,162.13235294118
Chelsea,Healthcare and Medical Services,15000,0.46875,1000,0.0020408163265306,22968.75
Chelsea,Installation and Repair Services,25000,0.78125,270000,0.55102040816327,141.78240740741
Chelsea,"Life, Physical and Social Sciences",17000,0.53125,220000,0.4489795918367299,118.32386363636002
Chelsea,Computation and Mathematics,20000,0.625,260000,0.5306122448979601,117.78846153846001
Chelsea,Community and Social Services,6600,0.20625,130000,0.26530612244898005,77.740384615385
Chelsea,Protective Services,7000,0.21875,72000,0.14693877551020001,148.87152777778
Chelsea,"Farming, Fishing and Forestry",14000,0.4375,150000,0.30612244897959,142.91666666667
Chelsea,Cleaning and Maintenance Services,10000,0.3125,110000,0.22448979591837,139.20454545455
Chelsea,Military (Global),1000,0.03125,2300,0.0046938775510204,665.76086956522
Chelsea,Veterans (US),1000,0.03125,1700,0.003469387755102,900.73529411765
Chelsea,Government Employees (Global),1000,0.03125,9600,0.019591836734694,159.50520833333
