Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
Crystal Palace,Business and Finance,2800,0.52830188679245,290000,0.59183673469388,89.264801561483
Crystal Palace,Administrative Services,5500,1.0377358490566,670000,1.3673469387755,75.89411433399
Crystal Palace,Education and Libraries,1500,0.28301886792453,220000,0.4489795918367299,63.03602058319
Crystal Palace,Management,4600,0.86792452830189,540000,1.1020408163265,78.756114605171
Crystal Palace,Sales,5000,0.9433962264150899,570000,1.1632653061223999,81.098973849719
Crystal Palace,IT and Technical Services,2200,0.41509433962264003,260000,0.5306122448979601,78.229317851959
Crystal Palace,Legal Services,1000,0.18867924528302,15000,0.030612244897959,616.35220125786
Crystal Palace,"Arts, Entertainment, Sports and Media",3800,0.71698113207547,350000,0.71428571428571,100.37735849056999
Crystal Palace,Production,3500,0.66037735849057,420000,0.85714285714286,77.044025157233
Crystal Palace,Transportation and Moving,1600,0.30188679245283,200000,0.40816326530612,73.962264150943
Crystal Palace,Architecture and Engineering,1300,0.24528301886792,160000,0.32653061224490004,75.117924528302
Crystal Palace,Food and Restaurants,2300,0.43396226415094,1000,0.0020408163265306,21264.150943396002
Crystal Palace,Construction and Extraction,1700,0.32075471698113,170000,0.3469387755102,92.452830188679
Crystal Palace,Healthcare and Medical Services,1400,0.26415094339623,1000,0.0020408163265306,12943.396226415
Crystal Palace,Installation and Repair Services,2100,0.39622641509434,270000,0.55102040816327,71.907756813417
Crystal Palace,"Life, Physical and Social Sciences",1900,0.35849056603774,220000,0.4489795918367299,79.845626072041
Crystal Palace,Computation and Mathematics,2200,0.41509433962264003,260000,0.5306122448979601,78.229317851959
Crystal Palace,Community and Social Services,1000,0.18867924528302,130000,0.26530612244898005,71.117561683599
Crystal Palace,Protective Services,1000,0.18867924528302,72000,0.14693877551020001,128.40670859539
Crystal Palace,"Farming, Fishing and Forestry",1300,0.24528301886792,150000,0.30612244897959,80.125786163522
Crystal Palace,Cleaning and Maintenance Services,1000,0.18867924528302,110000,0.22448979591837,84.048027444254
Crystal Palace,Military (Global),1000,0.18867924528302,2300,0.0046938775510204,4019.688269073
Crystal Palace,Veterans (US),1000,0.18867924528302,1700,0.003469387755102,5438.401775804699
Crystal Palace,Government Employees (Global),1000,0.18867924528302,9600,0.019591836734694,963.05031446541
