Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
Everton,Business and Finance,7400,0.61666666666667,290000,0.59183673469388,104.19540229885
Everton,Administrative Services,16000,1.3333333333333,670000,1.3673469387755,97.512437810945
Everton,Education and Libraries,3800,0.31666666666667,220000,0.4489795918367299,70.530303030303
Everton,Management,13000,1.0833333333333,540000,1.1020408163265,98.302469135802
Everton,Sales,14000,1.1666666666667,570000,1.1632653061223999,100.29239766081999
Everton,IT and Technical Services,6000,0.5,260000,0.5306122448979601,94.230769230769
Everton,Legal Services,1000,0.083333333333333,15000,0.030612244897959,272.22222222222
Everton,"Arts, Entertainment, Sports and Media",8600,0.71666666666667,350000,0.71428571428571,100.33333333333
Everton,Production,12000,1.0,420000,0.85714285714286,116.66666666667
Everton,Transportation and Moving,6300,0.525,200000,0.40816326530612,128.625
Everton,Architecture and Engineering,4800,0.4,160000,0.32653061224490004,122.5
Everton,Food and Restaurants,7800,0.65,1000,0.0020408163265306,31850.0
Everton,Construction and Extraction,6600,0.55,170000,0.3469387755102,158.52941176471
Everton,Healthcare and Medical Services,4000,0.33333333333333,1000,0.0020408163265306,16333.333333333001
Everton,Installation and Repair Services,8400,0.7,270000,0.55102040816327,127.03703703703998
Everton,"Life, Physical and Social Sciences",5000,0.41666666666667,220000,0.4489795918367299,92.80303030303001
Everton,Computation and Mathematics,6000,0.5,260000,0.5306122448979601,94.230769230769
Everton,Community and Social Services,2000,0.16666666666667002,130000,0.26530612244898005,62.820512820513
Everton,Protective Services,2400,0.2,72000,0.14693877551020001,136.11111111111
Everton,"Farming, Fishing and Forestry",4600,0.38333333333333003,150000,0.30612244897959,125.22222222222
Everton,Cleaning and Maintenance Services,3400,0.28333333333333,110000,0.22448979591837,126.21212121212
Everton,Military (Global),1000,0.083333333333333,2300,0.0046938775510204,1775.3623188406
Everton,Veterans (US),1000,0.083333333333333,1700,0.003469387755102,2401.9607843137
Everton,Government Employees (Global),1000,0.083333333333333,9600,0.019591836734694,425.34722222222
