Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
Leeds United,Business and Finance,87000,0.9775280898876401,290000,0.59183673469388,165.16853932584
Leeds United,Administrative Services,200000,2.247191011236,670000,1.3673469387755,164.34680529935
Leeds United,Education and Libraries,67000,0.75280898876405,220000,0.4489795918367299,167.67109295199
Leeds United,Management,150000,1.685393258427,540000,1.1020408163265,152.93383270911002
Leeds United,Sales,170000,1.9101123595506,570000,1.1632653061223999,164.20264143505
Leeds United,IT and Technical Services,60000,0.67415730337079,260000,0.5306122448979601,127.05272255834
Leeds United,Legal Services,4700,0.052808988764044995,15000,0.030612244897959,172.50936329588
Leeds United,"Arts, Entertainment, Sports and Media",84000,0.9438202247191,350000,0.71428571428571,132.13483146067
Leeds United,Production,120000,1.3483146067416,420000,0.85714285714286,157.30337078652
Leeds United,Transportation and Moving,52000,0.58426966292135,200000,0.40816326530612,143.14606741573
Leeds United,Architecture and Engineering,36000,0.40449438202246996,160000,0.32653061224490004,123.87640449438
Leeds United,Food and Restaurants,90000,1.0112359550561998,1000,0.0020408163265306,49550.561797753
Leeds United,Construction and Extraction,47000,0.52808988764045,170000,0.3469387755102,152.21414408459998
Leeds United,Healthcare and Medical Services,75000,0.8426966292134799,1000,0.0020408163265306,41292.134831461
Leeds United,Installation and Repair Services,74000,0.8314606741573,270000,0.55102040816327,150.89471493966002
Leeds United,"Life, Physical and Social Sciences",49000,0.55056179775281,220000,0.4489795918367299,122.62512768131
Leeds United,Computation and Mathematics,60000,0.67415730337079,260000,0.5306122448979601,127.05272255834
Leeds United,Community and Social Services,43000,0.48314606741572996,130000,0.26530612244898005,182.10890233362
Leeds United,Protective Services,19000,0.21348314606742003,72000,0.14693877551020001,145.28714107366002
Leeds United,"Farming, Fishing and Forestry",41000,0.46067415730337,150000,0.30612244897959,150.48689138577
Leeds United,Cleaning and Maintenance Services,30000,0.33707865168539003,110000,0.22448979591837,150.15321756895
Leeds United,Military (Global),1000,0.011235955056179999,2300,0.0046938775510204,239.37469467512997
Leeds United,Veterans (US),1000,0.011235955056179999,1700,0.003469387755102,323.85988103106
Leeds United,Government Employees (Global),2500,0.028089887640449,9600,0.019591836734694,143.37546816479
