Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
Man City,Business and Finance,16000,0.76190476190476,290000,0.59183673469388,128.73563218391
Man City,Administrative Services,32000,1.5238095238095,670000,1.3673469387755,111.44278606965
Man City,Education and Libraries,8900,0.42380952380952003,220000,0.4489795918367299,94.393939393939
Man City,Management,26000,1.2380952380952,540000,1.1020408163265,112.34567901235
Man City,Sales,30000,1.4285714285714,570000,1.1632653061223999,122.80701754386001
Man City,IT and Technical Services,12000,0.57142857142857,260000,0.5306122448979601,107.69230769231
Man City,Legal Services,1000,0.04761904761904799,15000,0.030612244897959,155.55555555556
Man City,"Arts, Entertainment, Sports and Media",18000,0.85714285714286,350000,0.71428571428571,120.0
Man City,Production,25000,1.1904761904762,420000,0.85714285714286,138.88888888889
Man City,Transportation and Moving,12000,0.57142857142857,200000,0.40816326530612,140.0
Man City,Architecture and Engineering,9600,0.45714285714286,160000,0.32653061224490004,140.0
Man City,Food and Restaurants,17000,0.80952380952381,1000,0.0020408163265306,39666.666666667
Man City,Construction and Extraction,13000,0.61904761904762,170000,0.3469387755102,178.43137254902
Man City,Healthcare and Medical Services,8800,0.41904761904762,1000,0.0020408163265306,20533.333333333
Man City,Installation and Repair Services,17000,0.80952380952381,270000,0.55102040816327,146.91358024691002
Man City,"Life, Physical and Social Sciences",9900,0.47142857142857,220000,0.4489795918367299,105.0
Man City,Computation and Mathematics,12000,0.57142857142857,260000,0.5306122448979601,107.69230769231
Man City,Community and Social Services,4200,0.2,130000,0.26530612244898005,75.384615384615
Man City,Protective Services,5000,0.23809523809524,72000,0.14693877551020001,162.03703703704
Man City,"Farming, Fishing and Forestry",9500,0.45238095238095,150000,0.30612244897959,147.77777777778
Man City,Cleaning and Maintenance Services,6300,0.3,110000,0.22448979591837,133.63636363636002
Man City,Military (Global),1000,0.04761904761904799,2300,0.0046938775510204,1014.4927536232001
Man City,Veterans (US),1000,0.04761904761904799,1700,0.003469387755102,1372.5490196078
Man City,Government Employees (Global),1000,0.04761904761904799,9600,0.019591836734694,243.05555555556
