Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
Man Utd,Business and Finance,37000,0.925,290000,0.59183673469388,156.29310344828002
Man Utd,Administrative Services,77000,1.925,670000,1.3673469387755,140.78358208955
Man Utd,Education and Libraries,19000,0.475,220000,0.4489795918367299,105.79545454545
Man Utd,Management,64000,1.6,540000,1.1020408163265,145.18518518519
Man Utd,Sales,69000,1.725,570000,1.1632653061223999,148.28947368421
Man Utd,IT and Technical Services,31000,0.775,260000,0.5306122448979601,146.05769230769
Man Utd,Legal Services,1900,0.0475,15000,0.030612244897959,155.16666666667
Man Utd,"Arts, Entertainment, Sports and Media",42000,1.05,350000,0.71428571428571,147.0
Man Utd,Production,61000,1.525,420000,0.85714285714286,177.91666666667
Man Utd,Transportation and Moving,30000,0.75,200000,0.40816326530612,183.75
Man Utd,Architecture and Engineering,24000,0.6,160000,0.32653061224490004,183.75
Man Utd,Food and Restaurants,37000,0.925,1000,0.0020408163265306,45325.0
Man Utd,Construction and Extraction,31000,0.775,170000,0.3469387755102,223.38235294117996
Man Utd,Healthcare and Medical Services,21000,0.525,1000,0.0020408163265306,25725.0
Man Utd,Installation and Repair Services,1000,0.025,270000,0.55102040816327,4.537037037037
Man Utd,"Life, Physical and Social Sciences",25000,0.625,220000,0.4489795918367299,139.20454545455
Man Utd,Computation and Mathematics,31000,0.775,260000,0.5306122448979601,146.05769230769
Man Utd,Community and Social Services,1000,0.025,130000,0.26530612244898005,9.4230769230769
Man Utd,Protective Services,11000,0.275,72000,0.14693877551020001,187.15277777778
Man Utd,"Farming, Fishing and Forestry",24000,0.6,150000,0.30612244897959,196.0
Man Utd,Cleaning and Maintenance Services,16000,0.4,110000,0.22448979591837,178.18181818182
Man Utd,Military (Global),1000,0.025,2300,0.0046938775510204,532.60869565217
Man Utd,Veterans (US),1000,0.025,1700,0.003469387755102,720.5882352941201
Man Utd,Government Employees (Global),1000,0.025,9600,0.019591836734694,127.60416666667
