Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
Shef Utd,Business and Finance,3800,1.027027027027,290000,0.59183673469388,173.5321528425
Shef Utd,Administrative Services,8000,2.1621621621622,670000,1.3673469387755,158.12827753126
Shef Utd,Education and Libraries,1900,0.51351351351351,220000,0.4489795918367299,114.37346437346001
Shef Utd,Management,6300,1.7027027027027,540000,1.1020408163265,154.5045045045
Shef Utd,Sales,7300,1.9729729729730001,570000,1.1632653061223999,169.60644855382
Shef Utd,IT and Technical Services,2900,0.78378378378378,260000,0.5306122448979601,147.71309771309998
Shef Utd,Legal Services,1000,0.27027027027027,15000,0.030612244897959,882.88288288288
Shef Utd,"Arts, Entertainment, Sports and Media",4400,1.1891891891892,350000,0.71428571428571,166.48648648648998
Shef Utd,Production,6700,1.8108108108108,420000,0.85714285714286,211.26126126126
Shef Utd,Transportation and Moving,3300,0.89189189189189,200000,0.40816326530612,218.51351351351002
Shef Utd,Architecture and Engineering,2400,0.64864864864865,160000,0.32653061224490004,198.64864864865
Shef Utd,Food and Restaurants,4300,1.1621621621621998,1000,0.0020408163265306,56945.945945946
Shef Utd,Construction and Extraction,3800,1.027027027027,170000,0.3469387755102,296.02543720191
Shef Utd,Healthcare and Medical Services,2000,0.54054054054054,1000,0.0020408163265306,26486.486486486
Shef Utd,Installation and Repair Services,4400,1.1891891891892,270000,0.55102040816327,215.81581581582
Shef Utd,"Life, Physical and Social Sciences",2300,0.6216216216216199,220000,0.4489795918367299,138.45208845209
Shef Utd,Computation and Mathematics,2900,0.78378378378378,260000,0.5306122448979601,147.71309771309998
Shef Utd,Community and Social Services,1000,0.27027027027027,130000,0.26530612244898005,101.87110187110001
Shef Utd,Protective Services,1200,0.32432432432432,72000,0.14693877551020001,220.72072072072
Shef Utd,"Farming, Fishing and Forestry",2400,0.64864864864865,150000,0.30612244897959,211.89189189189
Shef Utd,Cleaning and Maintenance Services,1800,0.48648648648649,110000,0.22448979591837,216.70761670762002
Shef Utd,Military (Global),1000,0.27027027027027,2300,0.0046938775510204,5757.9318448884
Shef Utd,Veterans (US),1000,0.27027027027027,1700,0.003469387755102,7790.1430842607
Shef Utd,Government Employees (Global),1000,0.27027027027027,9600,0.019591836734694,1379.5045045045001
