Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
Southampton,Business and Finance,5500,0.83333333333333,290000,0.59183673469388,140.80459770115
Southampton,Administrative Services,13000,1.9696969696970001,670000,1.3673469387755,144.05246494799
Southampton,Education and Libraries,3200,0.48484848484848,220000,0.4489795918367299,107.98898071625
Southampton,Management,9800,1.4848484848485,540000,1.1020408163265,134.73625140292
Southampton,Sales,11000,1.6666666666667,570000,1.1632653061223999,143.27485380117
Southampton,IT and Technical Services,4600,0.6969696969697,260000,0.5306122448979601,131.35198135198
Southampton,Legal Services,1000,0.15151515151515,15000,0.030612244897959,494.94949494949003
Southampton,"Arts, Entertainment, Sports and Media",6700,1.0151515151515,350000,0.71428571428571,142.12121212121
Southampton,Production,10000,1.5151515151515,420000,0.85714285714286,176.76767676768003
Southampton,Transportation and Moving,5000,0.75757575757576,200000,0.40816326530612,185.60606060606003
Southampton,Architecture and Engineering,3700,0.56060606060606,160000,0.32653061224490004,171.68560606061
Southampton,Food and Restaurants,6400,0.96969696969697,1000,0.0020408163265306,47515.151515152
Southampton,Construction and Extraction,5200,0.7878787878787901,170000,0.3469387755102,227.0944741533
Southampton,Healthcare and Medical Services,3600,0.54545454545455,1000,0.0020408163265306,26727.272727272997
Southampton,Installation and Repair Services,6800,1.030303030303,270000,0.55102040816327,186.98092031425
Southampton,"Life, Physical and Social Sciences",3900,0.5909090909090899,220000,0.4489795918367299,131.61157024793002
Southampton,Computation and Mathematics,4600,0.6969696969697,260000,0.5306122448979601,131.35198135198
Southampton,Community and Social Services,1600,0.24242424242424,130000,0.26530612244898005,91.375291375291
Southampton,Protective Services,1900,0.28787878787878995,72000,0.14693877551020001,195.91750841751
Southampton,"Farming, Fishing and Forestry",3700,0.56060606060606,150000,0.30612244897959,183.13131313131
Southampton,Cleaning and Maintenance Services,2900,0.43939393939393995,110000,0.22448979591837,195.73002754821
Southampton,Military (Global),1000,0.15151515151515,2300,0.0046938775510204,3227.9314888011
Southampton,Veterans (US),1000,0.15151515151515,1700,0.003469387755102,4367.201426025
Southampton,Government Employees (Global),1000,0.15151515151515,9600,0.019591836734694,773.3585858585901
