Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
West Brom,Business and Finance,6200,1.265306122449,290000,0.59183673469388,213.79310344828
West Brom,Administrative Services,13000,2.6530612244897998,670000,1.3673469387755,194.02985074627
West Brom,Education and Libraries,2800,0.57142857142857,220000,0.4489795918367299,127.27272727273001
West Brom,Management,11000,2.2448979591837,540000,1.1020408163265,203.7037037037
West Brom,Sales,11000,2.2448979591837,570000,1.1632653061223999,192.98245614035
West Brom,IT and Technical Services,5200,1.0612244897959,260000,0.5306122448979601,200.0
West Brom,Legal Services,1000,0.20408163265306,15000,0.030612244897959,666.66666666667
West Brom,"Arts, Entertainment, Sports and Media",7000,1.4285714285714,350000,0.71428571428571,200.0
West Brom,Production,9900,2.0204081632653,420000,0.85714285714286,235.71428571429
West Brom,Transportation and Moving,4600,0.9387755102040799,200000,0.40816326530612,230.0
West Brom,Architecture and Engineering,3900,0.7959183673469399,160000,0.32653061224490004,243.75
West Brom,Food and Restaurants,5400,1.1020408163265,1000,0.0020408163265306,54000.0
West Brom,Construction and Extraction,5000,1.0204081632653001,170000,0.3469387755102,294.11764705882
West Brom,Healthcare and Medical Services,2700,0.55102040816327,1000,0.0020408163265306,27000.0
West Brom,Installation and Repair Services,6500,1.3265306122448999,270000,0.55102040816327,240.74074074073997
West Brom,"Life, Physical and Social Sciences",4200,0.85714285714286,220000,0.4489795918367299,190.90909090909
West Brom,Computation and Mathematics,5200,1.0612244897959,260000,0.5306122448979601,200.0
West Brom,Community and Social Services,1500,0.30612244897959,130000,0.26530612244898005,115.38461538462
West Brom,Protective Services,1800,0.36734693877551006,72000,0.14693877551020001,250.0
West Brom,"Farming, Fishing and Forestry",3600,0.7346938775510201,150000,0.30612244897959,240.0
West Brom,Cleaning and Maintenance Services,2600,0.5306122448979601,110000,0.22448979591837,236.36363636363998
West Brom,Military (Global),1000,0.20408163265306,2300,0.0046938775510204,4347.8260869565
West Brom,Veterans (US),1000,0.20408163265306,1700,0.003469387755102,5882.3529411765
West Brom,Government Employees (Global),1000,0.20408163265306,9600,0.019591836734694,1041.6666666667
