Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
West Ham,Business and Finance,5700,0.79166666666667,290000,0.59183673469388,133.76436781609
West Ham,Administrative Services,12000,1.6666666666667,670000,1.3673469387755,121.89054726368
West Ham,Education and Libraries,2800,0.38888888888889,220000,0.4489795918367299,86.61616161616199
West Ham,Management,9800,1.3611111111111,540000,1.1020408163265,123.50823045267
West Ham,Sales,11000,1.5277777777777999,570000,1.1632653061223999,131.33528265107
West Ham,IT and Technical Services,4600,0.63888888888889,260000,0.5306122448979601,120.40598290598
West Ham,Legal Services,1000,0.13888888888889,15000,0.030612244897959,453.7037037037
West Ham,"Arts, Entertainment, Sports and Media",7000,0.97222222222222,350000,0.71428571428571,136.11111111111
West Ham,Production,8800,1.2222222222222,420000,0.85714285714286,142.59259259259
West Ham,Transportation and Moving,4400,0.61111111111111,200000,0.40816326530612,149.72222222222
West Ham,Architecture and Engineering,3200,0.44444444444444003,160000,0.32653061224490004,136.11111111111
West Ham,Food and Restaurants,5800,0.80555555555556,1000,0.0020408163265306,39472.222222222
West Ham,Construction and Extraction,4800,0.6666666666666701,170000,0.3469387755102,192.15686274509997
West Ham,Healthcare and Medical Services,2900,0.40277777777778,1000,0.0020408163265306,19736.111111111
West Ham,Installation and Repair Services,5800,0.80555555555556,270000,0.55102040816327,146.19341563786
West Ham,"Life, Physical and Social Sciences",3800,0.52777777777778,220000,0.4489795918367299,117.55050505051001
West Ham,Computation and Mathematics,4600,0.63888888888889,260000,0.5306122448979601,120.40598290598
West Ham,Community and Social Services,1400,0.19444444444444,130000,0.26530612244898005,73.290598290598
West Ham,Protective Services,1900,0.26388888888889,72000,0.14693877551020001,179.59104938272
West Ham,"Farming, Fishing and Forestry",3400,0.47222222222222,150000,0.30612244897959,154.25925925926
West Ham,Cleaning and Maintenance Services,2400,0.33333333333333,110000,0.22448979591837,148.48484848485
West Ham,Military (Global),1000,0.13888888888889,2300,0.0046938775510204,2958.9371980676
West Ham,Veterans (US),1000,0.13888888888889,1700,0.003469387755102,4003.2679738562
West Ham,Government Employees (Global),1000,0.13888888888889,9600,0.019591836734694,708.9120370370401
