Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
Wolves,Business and Finance,5500,0.79710144927536,290000,0.59183673469388,134.68265867066003
Wolves,Administrative Services,12000,1.7391304347826002,670000,1.3673469387755,127.19013627515
Wolves,Education and Libraries,2900,0.42028985507246003,220000,0.4489795918367299,93.610013175231
Wolves,Management,9700,1.4057971014493,540000,1.1020408163265,127.56307031668999
Wolves,Sales,10000,1.4492753623188002,570000,1.1632653061223999,124.58682939232
Wolves,IT and Technical Services,4500,0.65217391304348,260000,0.5306122448979601,122.90969899666
Wolves,Legal Services,1000,0.14492753623188,15000,0.030612244897959,473.42995169082
Wolves,"Arts, Entertainment, Sports and Media",6600,0.95652173913043,350000,0.71428571428571,133.91304347826
Wolves,Production,9100,1.3188405797101002,420000,0.85714285714286,153.86473429952
Wolves,Transportation and Moving,4200,0.6086956521739101,200000,0.40816326530612,149.13043478261002
Wolves,Architecture and Engineering,3500,0.50724637681159,160000,0.32653061224490004,155.34420289855
Wolves,Food and Restaurants,5400,0.7826086956521701,1000,0.0020408163265306,38347.826086957
Wolves,Construction and Extraction,4500,0.65217391304348,170000,0.3469387755102,187.97953964194
Wolves,Healthcare and Medical Services,3000,0.43478260869565005,1000,0.0020408163265306,21304.347826087
Wolves,Installation and Repair Services,5900,0.85507246376812,270000,0.55102040816327,155.17981749866001
Wolves,"Life, Physical and Social Sciences",3800,0.5507246376811601,220000,0.4489795918367299,122.66139657443998
Wolves,Computation and Mathematics,4500,0.65217391304348,260000,0.5306122448979601,122.90969899666
Wolves,Community and Social Services,1500,0.21739130434783,130000,0.26530612244898005,81.939799331104
Wolves,Protective Services,1600,0.23188405797101003,72000,0.14693877551020001,157.80998389694
Wolves,"Farming, Fishing and Forestry",3200,0.46376811594203005,150000,0.30612244897959,151.49758454106
Wolves,Cleaning and Maintenance Services,2300,0.33333333333333,110000,0.22448979591837,148.48484848485
Wolves,Military (Global),1000,0.14492753623188,2300,0.0046938775510204,3087.5866414619
Wolves,Veterans (US),1000,0.14492753623188,1700,0.003469387755102,4177.3231031543
Wolves,Government Employees (Global),1000,0.14492753623188,9600,0.019591836734694,739.7342995169099
