Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
Leicester City,Cosmetics,450000,46.875,24000000,48.979591836735004,95.703125
Leicester City,Science,330000,34.375,14000000,28.571428571429,120.3125
Leicester City,Beauty,630000,65.625,29000000,59.183673469388,110.88362068966002
Leicester City,Adventure travel,210000,21.875,7700000,15.714285714286001,139.20454545455
Leicester City,Organic food,170000,17.708333333333,8800000,17.959183673469,98.60321969696999
Leicester City,Small business,220000,22.916666666667,9200000,18.775510204082,122.05615942028999
Leicester City,Interior design,410000,42.708333333333,20000000,40.816326530612,104.63541666667
Leicester City,Acting,180000,18.75,7700000,15.714285714286001,119.31818181818001
Leicester City,Vacations,210000,21.875,8400000,17.142857142857,127.60416666667
Leicester City,Volleyball,190000,19.791666666667,3700000,7.5510204081633,262.10585585586
Leicester City,Soft drinks,150000,15.625,5000000,10.204081632653,153.125
Leicester City,Classical music,240000,25.0,7700000,15.714285714286001,159.09090909091
Leicester City,Theatre,350000,36.458333333333,14000000,28.571428571429,127.60416666667
Leicester City,Tablet computers,290000,30.208333333333,9800000,20.0,151.04166666667
Leicester City,Aviation,210000,21.875,6400000,13.061224489796,167.48046875
Leicester City,Mexican cuisine,46000,4.7916666666667,1700000,3.4693877551020003,138.11274509804
Leicester City,Word games,46000,4.7916666666667,2200000,4.4897959183673,106.72348484848
Leicester City,Concerts,320000,33.333333333333,8800000,17.959183673469,185.60606060606003
Leicester City,Mobile phones,490000,51.041666666667005,17000000,34.69387755102,147.12009803921998
Leicester City,Action games,140000,14.583333333333002,4000000,8.163265306122401,178.64583333333
Leicester City,Fishing,220000,22.916666666667,7000000,14.285714285713999,160.41666666667
Leicester City,Surfing,120000,12.5,4700000,9.591836734693901,130.31914893617
Leicester City,Outdoor recreation,540000,56.25,22000000,44.897959183673,125.28409090908998
Leicester City,Mystery fiction,140000,14.583333333333002,6000000,12.244897959184,119.09722222222
Leicester City,Motherhood,300000,31.25,15000000,30.612244897959,102.08333333333
Leicester City,Reading,670000,69.791666666667,31000000,63.265306122449,110.31586021505
Leicester City,Singing,260000,27.083333333333,8400000,17.142857142857,157.98611111111
Leicester City,Japanese cuisine,43000,4.4791666666667,2000000,4.081632653061201,109.73958333333
Leicester City,Camcorders,24000,2.5,730000,1.4897959183673,167.80821917808
Leicester City,Meditation,220000,22.916666666667,9000000,18.367346938776,124.76851851852
Leicester City,Gambling,500000,52.083333333332995,11000000,22.448979591837002,232.00757575757999
Leicester City,Beer,350000,36.458333333333,10000000,20.408163265306,178.64583333333
Leicester City,Music,760000,79.166666666667,36000000,73.46938775510199,107.75462962963002
Leicester City,Tattoos,290000,30.208333333333,14000000,28.571428571429,105.72916666667
Leicester City,Arts and music,770000,80.208333333333,37000000,75.51020408163299,106.22184684685
Leicester City,Chinese cuisine,71000,7.3958333333333,2700000,5.5102040816327,134.22067901235002
Leicester City,Online poker,150000,15.625,2600000,5.3061224489795995,294.47115384615
Leicester City,Community issues,180000,18.75,8300000,16.938775510204,110.69277108433998
Leicester City,Gardening,390000,40.625,18000000,36.734693877550995,110.59027777778
Leicester City,Coupons,380000,39.583333333333,16000000,32.65306122449,121.22395833333
Leicester City,Ecotourism,30000,3.125,1500000,3.0612244897959,102.08333333333
Leicester City,First-person shooter games,400000,41.666666666667,14000000,28.571428571429,145.83333333333
Leicester City,Retail banking,21000,2.1875,470000,0.9591836734693899,228.05851063830002
Leicester City,Investment banking,22000,2.2916666666667003,700000,1.4285714285714,160.41666666667
Leicester City,Mountains,180000,18.75,7300000,14.897959183673,125.85616438356001
Leicester City,Toys,300000,31.25,14000000,28.571428571429,109.375
Leicester City,Games,710000,73.958333333333,29000000,59.183673469388,124.96408045976999
Leicester City,Gospel music,130000,13.541666666666998,5900000,12.040816326531,112.46468926553999
Leicester City,E-books,230000,23.958333333333,9100000,18.571428571429,129.00641025641002
Leicester City,Sales,630000,65.625,30000000,61.224489795918,107.1875
Leicester City,Email marketing,11000,1.1458333333333,730000,1.4897959183673,76.912100456621
Leicester City,Manga,66000,6.875,3400000,6.938775510204099,99.080882352941
Leicester City,Baseball,270000,28.125,6700000,13.673469387755,205.69029850746003
Leicester City,Beauty salons,260000,27.083333333333,15000000,30.612244897959,88.472222222222
Leicester City,Car rentals,94000,9.7916666666667,2600000,5.3061224489795995,184.53525641026002
Leicester City,Mountain biking,130000,13.541666666666998,3300000,6.734693877551,201.07323232323003
Leicester City,Trucks,230000,23.958333333333,5800000,11.836734693878,202.40660919540002
Leicester City,Graphic design,220000,22.916666666667,9600000,19.591836734694,116.97048611111
Leicester City,Fatherhood,220000,22.916666666667,9500000,19.387755102040998,118.20175438596
Leicester City,Italian cuisine,150000,15.625,5400000,11.020408163265,141.78240740741
Leicester City,Latin American cuisine,4800,0.5,420000,0.85714285714286,58.333333333332995
Leicester City,Boutiques,270000,28.125,15000000,30.612244897959,91.875
Leicester City,Crafts,270000,28.125,16000000,32.65306122449,86.1328125
Leicester City,Hunting,230000,23.958333333333,7700000,15.714285714286001,152.46212121212
Leicester City,Soul music,240000,25.0,10000000,20.408163265306,122.5
Leicester City,Association football (Soccer),860000,89.583333333333,26000000,53.061224489796,168.83012820513
Leicester City,Rabbits,67000,6.9791666666667,3700000,7.5510204081633,92.426801801802
Leicester City,Spanish cuisine,10000,1.0416666666667,600000,1.2244897959183998,85.069444444444
Leicester City,Music festivals,270000,28.125,9300000,18.979591836735,148.18548387097
Leicester City,Desktop computers,140000,14.583333333333002,3800000,7.7551020408163,188.04824561403998
Leicester City,Computer monitors,83000,8.6458333333333,2100000,4.2857142857143,201.73611111111
Leicester City,Coffeehouses,290000,30.208333333333,13000000,26.530612244898,113.86217948718
Leicester City,Boating,75000,7.8125,2400000,4.8979591836735,159.50520833333
Leicester City,Electric vehicle,210000,21.875,4200000,8.5714285714286,255.20833333332996
Leicester City,Desserts,300000,31.25,11000000,22.448979591837002,139.20454545455
Leicester City,Comics,150000,15.625,6500000,13.265306122449,117.78846153846001
Leicester City,TV game shows,140000,14.583333333333002,3300000,6.734693877551,216.5404040404
Leicester City,Digital marketing,73000,7.6041666666667,2800000,5.7142857142857,133.07291666667
Leicester City,Animated movies,180000,18.75,7700000,15.714285714286001,119.31818181818001
Leicester City,Furniture,420000,43.75,21000000,42.857142857143,102.08333333333
Leicester City,Vehicles,590000,61.458333333332995,23000000,46.938775510204,130.93297101449
Leicester City,Chocolate,330000,34.375,13000000,26.530612244898,129.56730769231
Leicester City,Baking,300000,31.25,13000000,26.530612244898,117.78846153846001
Leicester City,Volunteering,91000,9.4791666666667,4700000,9.591836734693901,98.82535460992901
Leicester City,Movies,710000,73.958333333333,32000000,65.30612244898,113.24869791667
Leicester City,Mortgage loans,220000,22.916666666667,7100000,14.489795918367,158.15727699531
Leicester City,Computer processors,100000,10.416666666667,2400000,4.8979591836735,212.67361111111
Leicester City,Painting,290000,30.208333333333,13000000,26.530612244898,113.86217948718
Leicester City,Personal finance,560000,58.333333333332995,22000000,44.897959183673,129.92424242424
Leicester City,Jazz music,300000,31.25,12000000,24.489795918367,127.60416666667
Leicester City,Auto racing,320000,33.333333333333,7700000,15.714285714286001,212.12121212121002
Leicester City,Distilled beverage,270000,28.125,11000000,22.448979591837002,125.28409090908998
Leicester City,Parties,340000,35.416666666667,12000000,24.489795918367,144.61805555556
Leicester City,Wine,300000,31.25,12000000,24.489795918367,127.60416666667
Leicester City,Computer servers,51000,5.3125,1100000,2.2448979591837,236.64772727272998
Leicester City,Online games,310000,32.291666666667,8600000,17.551020408162998,183.98740310078
Leicester City,Performing arts,360000,37.5,12000000,24.489795918367,153.125
Leicester City,Vegetarianism,160000,16.666666666667,7700000,15.714285714286001,106.06060606060998
Leicester City,Bars,330000,34.375,11000000,22.448979591837002,153.125
Leicester City,Bollywood movies,100000,10.416666666667,3700000,7.5510204081633,137.95045045045
Leicester City,Cats,260000,27.083333333333,14000000,28.571428571429,94.791666666667
Leicester City,Fish,220000,22.916666666667,8000000,16.326530612244998,140.36458333333
Leicester City,Comedy movies,550000,57.291666666667005,23000000,46.938775510204,122.05615942028999
Leicester City,College football,200000,20.833333333333,1700000,3.4693877551020003,600.4901960784299
Leicester City,Swimming,190000,19.791666666667,5200000,10.612244897959,186.4983974359
Leicester City,Shopping and fashion,780000,81.25,40000000,81.632653061224,99.53125
Leicester City,Sustainability,330000,34.375,13000000,26.530612244898,129.56730769231
Leicester City,TV talkshows,130000,13.541666666666998,4600000,9.387755102040801,144.2481884058
Leicester City,TV,620000,64.583333333333,24000000,48.979591836735004,131.85763888889
Leicester City,Massively multiplayer online games,91000,9.4791666666667,2300000,4.6938775510204005,201.94746376812
Leicester City,Automobiles,500000,52.083333333332995,18000000,36.734693877550995,141.78240740741
Leicester City,Fantasy movies,190000,19.791666666667,7300000,14.897959183673,132.84817351598
Leicester City,Dance music,110000,11.458333333333002,5700000,11.632653061224001,98.501461988304
Leicester City,Dresses,210000,21.875,14000000,28.571428571429,76.5625
Leicester City,Fine art,98000,10.208333333333,6800000,13.877551020408001,73.560049019608
Leicester City,Rhythm and blues music,320000,33.333333333333,14000000,28.571428571429,116.66666666667
Leicester City,Cuisine,400000,41.666666666667,16000000,32.65306122449,127.60416666667
Leicester City,Massively multiplayer online role-playing games,82000,8.5416666666667,1600000,3.265306122449,261.58854166667004
Leicester City,Handbags,200000,20.833333333333,11000000,22.448979591837002,92.80303030303001
Leicester City,Dating,180000,18.75,6700000,13.673469387755,137.12686567164
Leicester City,Middle Eastern cuisine,5500,0.5729166666666701,640000,1.3061224489796002,43.863932291667005
Leicester City,Magazines,380000,39.583333333333,17000000,34.69387755102,114.0931372549
Leicester City,Science fiction movies,250000,26.041666666667,9200000,18.775510204082,138.70018115942
Leicester City,Minivans,37000,3.8541666666667003,780000,1.5918367346939,242.12072649572997
Leicester City,Romance novels,77000,8.0208333333333,4100000,8.3673469387755,95.85873983739799
Leicester City,Air travel,240000,25.0,8000000,16.326530612244998,153.125
Leicester City,Insurance,360000,37.5,11000000,22.448979591837002,167.04545454545
Leicester City,Discount stores,270000,28.125,10000000,20.408163265306,137.8125
Leicester City,Televisions,580000,60.416666666667005,21000000,42.857142857143,140.97222222222
Leicester City,Thriller movies,320000,33.333333333333,11000000,22.448979591837002,148.48484848485
Leicester City,Hip hop music,500000,52.083333333332995,20000000,40.816326530612,127.60416666667
Leicester City,Cruises,150000,15.625,4800000,9.7959183673469,159.50520833333
Leicester City,Parenting,210000,21.875,10000000,20.408163265306,107.1875
Leicester City,Home improvement,310000,32.291666666667,13000000,26.530612244898,121.71474358974
Leicester City,Seafood,140000,14.583333333333002,5200000,10.612244897959,137.41987179487
Leicester City,Diners,120000,12.5,4600000,9.387755102040801,133.15217391304
Leicester City,Action movies,300000,31.25,10000000,20.408163265306,153.125
Leicester City,Simulation games,130000,13.541666666666998,2200000,4.4897959183673,301.60984848485003
Leicester City,Ballet,32000,3.3333333333332997,2300000,4.6938775510204005,71.014492753623
Leicester City,Literature,100000,10.416666666667,5000000,10.204081632653,102.08333333333
Leicester City,Dancehalls,50000,5.2083333333333,1600000,3.265306122449,159.50520833333
Leicester City,Casino games,63000,6.5625,1200000,2.4489795918367,267.96875
Leicester City,Engineering,300000,31.25,11000000,22.448979591837002,139.20454545455
Leicester City,Spas,310000,32.291666666667,16000000,32.65306122449,98.893229166667
Leicester City,Sunglasses,180000,18.75,7700000,15.714285714286001,119.31818181818001
Leicester City,Blues music,290000,30.208333333333,12000000,24.489795918367,123.35069444443998
Leicester City,Shopping,740000,77.083333333333,37000000,75.51020408163299,102.08333333333
Leicester City,Food,670000,69.791666666667,32000000,65.30612244898,106.86848958333
Leicester City,Jewelry,410000,42.708333333333,22000000,44.897959183673,95.123106060606
Leicester City,Fashion design,370000,38.541666666667,16000000,32.65306122449,118.03385416667
Leicester City,TV reality shows,370000,38.541666666667,14000000,28.571428571429,134.89583333333
Leicester City,Sports,870000,90.625,35000000,71.42857142857099,126.875
Leicester City,Higher education,290000,30.208333333333,11000000,22.448979591837002,134.56439393939
Leicester City,Fiction books,160000,16.666666666667,6900000,14.081632653060998,118.35748792271002
Leicester City,Physical fitness,630000,65.625,23000000,46.938775510204,139.8097826087
Leicester City,Marketing,410000,42.708333333333,16000000,32.65306122449,130.79427083333
Leicester City,GPS devices,21000,2.1875,420000,0.85714285714286,255.20833333332996
Leicester City,Veterans,41000,4.2708333333333,1400000,2.8571428571429,149.47916666667
Leicester City,Thai cuisine,30000,3.125,1700000,3.4693877551020003,90.07352941176501
Leicester City,Birds,260000,27.083333333333,11000000,22.448979591837002,120.64393939393999
Leicester City,Projectors,42000,4.375,1000000,2.0408163265306003,214.375
Leicester City,Smartphones,440000,45.833333333332995,14000000,28.571428571429,160.41666666667
Leicester City,Web development,31000,3.2291666666667003,1400000,2.8571428571429,113.02083333333
Leicester City,Current events,420000,43.75,14000000,28.571428571429,153.125
Leicester City,Banking,310000,32.291666666667,10000000,20.408163265306,158.22916666667
Leicester City,Beverages,560000,58.333333333332995,23000000,46.938775510204,124.27536231884
Leicester City,Guitar,100000,10.416666666667,3700000,7.5510204081633,137.95045045045
Leicester City,SUVs,270000,28.125,6100000,12.448979591837,225.92213114753997
Leicester City,TV comedies,200000,20.833333333333,6700000,13.673469387755,152.3631840796
Leicester City,Yoga,300000,31.25,13000000,26.530612244898,117.78846153846001
Leicester City,Greek cuisine,12000,1.25,940000,1.9183673469387998,65.159574468085
Leicester City,Skiing,190000,19.791666666667,5000000,10.204081632653,193.95833333333
Leicester City,Cameras,270000,28.125,8300000,16.938775510204,166.03915662651002
Leicester City,Dogs,350000,36.458333333333,17000000,34.69387755102,105.08578431373002
Leicester City,Music videos,310000,32.291666666667,14000000,28.571428571429,113.02083333333
Leicester City,Pop music,540000,56.25,23000000,46.938775510204,119.83695652173999
Leicester City,Board games,99000,10.3125,4300000,8.7755102040816,117.51453488372
Leicester City,Korean cuisine,8900,0.92708333333333,520000,1.0612244897959,87.359775641026
Leicester City,Home Appliances,200000,20.833333333333,8600000,17.551020408162998,118.70155038760001
Leicester City,Vietnamese cuisine,8200,0.85416666666667,690000,1.4081632653061,60.658212560386
Leicester City,Online shopping,690000,71.875,33000000,67.34693877551,106.72348484848
Leicester City,Shoes,520000,54.166666666667005,25000000,51.020408163264996,106.16666666667
Leicester City,Fashion accessories,570000,59.375,26000000,53.061224489796,111.89903846153999
Leicester City,Camping,300000,31.25,9000000,18.367346938776,170.13888888889
Leicester City,Computer memory,16000,1.6666666666667,390000,0.7959183673469399,209.40170940171
Leicester City,Entertainment,830000,86.458333333333,42000000,85.714285714286,100.86805555555999
Leicester City,Musical theatre,120000,12.5,4000000,8.163265306122401,153.125
Leicester City,Triathlons,120000,12.5,2900000,5.918367346938799,211.20689655172
Leicester City,Motorcycles,260000,27.083333333333,7700000,15.714285714286001,172.34848484847998
Leicester City,Nature,500000,52.083333333332995,23000000,46.938775510204,110.96014492754
Leicester City,Nightclubs,300000,31.25,10000000,20.408163265306,153.125
Leicester City,Basketball,460000,47.916666666667005,12000000,24.489795918367,195.65972222222
Leicester City,Credit cards,350000,36.458333333333,11000000,22.448979591837002,162.40530303030002
Leicester City,Search engine optimization,26000,2.7083333333332997,1000000,2.0408163265306003,132.70833333333
Leicester City,Entrepreneurship,330000,34.375,12000000,24.489795918367,140.36458333333
Leicester City,Fast food restaurants,140000,14.583333333333002,3400000,6.938775510204099,210.17156862745
Leicester City,Documentary movies,320000,33.333333333333,12000000,24.489795918367,136.11111111111
Leicester City,Drama movies,230000,23.958333333333,8200000,16.734693877551,143.1656504065
Leicester City,American football,550000,57.291666666667005,10000000,20.408163265306,280.72916666667004
Leicester City,Role-playing games,160000,16.666666666667,4000000,8.163265306122401,204.16666666667
Leicester City,Portable media players,9600,1.0,390000,0.7959183673469399,125.64102564103001
Leicester City,Reptiles,34000,3.5416666666667003,1600000,3.265306122449,108.46354166667
Leicester City,Fitness and wellness,710000,73.958333333333,32000000,65.30612244898,113.24869791667
Leicester City,Racing games,120000,12.5,2400000,4.8979591836735,255.20833333332996
Leicester City,Recipes,320000,33.333333333333,15000000,30.612244897959,108.88888888889
Leicester City,Web hosting,18000,1.875,670000,1.3673469387755,137.12686567164
Leicester City,Drums,73000,7.6041666666667,3000000,6.1224489795918,124.20138888889
Leicester City,Investment,310000,32.291666666667,10000000,20.408163265306,158.22916666667
Leicester City,Social media marketing,59000,6.1458333333333,4400000,8.979591836734699,68.442234848485
Leicester City,Shopping malls,210000,21.875,11000000,22.448979591837002,97.443181818182
Leicester City,Energy drinks,140000,14.583333333333002,3700000,7.5510204081633,193.13063063063
Leicester City,RVs,100000,10.416666666667,2800000,5.7142857142857,182.29166666667
Leicester City,Religion,240000,25.0,11000000,22.448979591837002,111.36363636363998
Leicester City,Construction,400000,41.666666666667,14000000,28.571428571429,145.83333333333
Leicester City,Tennis,320000,33.333333333333,7600000,15.510204081633,214.91228070175
Leicester City,Running,370000,38.541666666667,13000000,26.530612244898,145.27243589744
Leicester City,Fast casual restaurants,120000,12.5,3300000,6.734693877551,185.60606060606003
Leicester City,Business,660000,68.75,29000000,59.183673469388,116.16379310344999
Leicester City,Web design,38000,3.9583333333332997,1900000,3.8775510204082,102.08333333333
Leicester City,Computers,610000,63.541666666667005,27000000,55.102040816327,115.31635802469
Leicester City,Alcoholic beverages,480000,50.0,19000000,38.775510204081996,128.94736842105
