Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
Aston Villa,Cosmetics,730000,48.666666666667005,24000000,48.979591836735004,99.36111111111099
Aston Villa,Science,530000,35.333333333333,14000000,28.571428571429,123.66666666667
Aston Villa,Beauty,1100000,73.333333333333,29000000,59.183673469388,123.90804597701
Aston Villa,Adventure travel,340000,22.666666666667,7700000,15.714285714286001,144.24242424242
Aston Villa,Organic food,260000,17.333333333333,8800000,17.959183673469,96.515151515152
Aston Villa,Small business,320000,21.333333333333,9200000,18.775510204082,113.6231884058
Aston Villa,Interior design,690000,46.0,20000000,40.816326530612,112.7
Aston Villa,Acting,280000,18.666666666667,7700000,15.714285714286001,118.78787878788
Aston Villa,Vacations,320000,21.333333333333,8400000,17.142857142857,124.44444444443998
Aston Villa,Volleyball,310000,20.666666666667,3700000,7.5510204081633,273.69369369369
Aston Villa,Soft drinks,250000,16.666666666667,5000000,10.204081632653,163.33333333333
Aston Villa,Classical music,360000,24.0,7700000,15.714285714286001,152.72727272727
Aston Villa,Theatre,540000,36.0,14000000,28.571428571429,126.0
Aston Villa,Tablet computers,1000,0.066666666666667,9800000,20.0,0.33333333333333
Aston Villa,Aviation,360000,24.0,6400000,13.061224489796,183.75
Aston Villa,Mexican cuisine,82000,5.4666666666667,1700000,3.4693877551020003,157.56862745098
Aston Villa,Word games,76000,5.0666666666667,2200000,4.4897959183673,112.84848484848
Aston Villa,Concerts,490000,32.666666666667,8800000,17.959183673469,181.89393939393997
Aston Villa,Mobile phones,790000,52.666666666667005,17000000,34.69387755102,151.80392156863002
Aston Villa,Action games,230000,15.333333333333002,4000000,8.163265306122401,187.83333333333
Aston Villa,Fishing,370000,24.666666666667,7000000,14.285714285713999,172.66666666667
Aston Villa,Surfing,210000,14.0,4700000,9.591836734693901,145.95744680851
Aston Villa,Outdoor recreation,890000,59.333333333332995,22000000,44.897959183673,132.15151515152002
Aston Villa,Mystery fiction,250000,16.666666666667,6000000,12.244897959184,136.11111111111
Aston Villa,Motherhood,510000,34.0,15000000,30.612244897959,111.06666666667
Aston Villa,Reading,1100000,73.333333333333,31000000,63.265306122449,115.91397849462
Aston Villa,Singing,390000,26.0,8400000,17.142857142857,151.66666666667
Aston Villa,Japanese cuisine,65000,4.3333333333333,2000000,4.081632653061201,106.16666666667
Aston Villa,Camcorders,40000,2.6666666666667003,730000,1.4897959183673,178.99543378995
Aston Villa,Meditation,330000,22.0,9000000,18.367346938776,119.77777777778
Aston Villa,Gambling,790000,52.666666666667005,11000000,22.448979591837002,234.60606060606003
Aston Villa,Beer,620000,41.333333333333,10000000,20.408163265306,202.53333333333
Aston Villa,Music,1200000,80.0,36000000,73.46938775510199,108.88888888889
Aston Villa,Tattoos,490000,32.666666666667,14000000,28.571428571429,114.33333333333
Aston Villa,Arts and music,1200000,80.0,37000000,75.51020408163299,105.94594594594999
Aston Villa,Chinese cuisine,120000,8.0,2700000,5.5102040816327,145.18518518519
Aston Villa,Online poker,250000,16.666666666667,2600000,5.3061224489795995,314.10256410256
Aston Villa,Community issues,270000,18.0,8300000,16.938775510204,106.26506024096001
Aston Villa,Gardening,670000,44.666666666667005,18000000,36.734693877550995,121.59259259259
Aston Villa,Coupons,630000,42.0,16000000,32.65306122449,128.625
Aston Villa,Ecotourism,47000,3.1333333333332996,1500000,3.0612244897959,102.35555555556
Aston Villa,First-person shooter games,650000,43.333333333332995,14000000,28.571428571429,151.66666666667
Aston Villa,Retail banking,33000,2.2,470000,0.9591836734693899,229.36170212766004
Aston Villa,Investment banking,33000,2.2,700000,1.4285714285714,154.0
Aston Villa,Mountains,300000,20.0,7300000,14.897959183673,134.24657534247
Aston Villa,Toys,510000,34.0,14000000,28.571428571429,119.0
Aston Villa,Games,1200000,80.0,29000000,59.183673469388,135.1724137931
Aston Villa,Gospel music,210000,14.0,5900000,12.040816326531,116.27118644068001
Aston Villa,E-books,360000,24.0,9100000,18.571428571429,129.23076923077
Aston Villa,Sales,1100000,73.333333333333,30000000,61.224489795918,119.77777777778
Aston Villa,Email marketing,15000,1.0,730000,1.4897959183673,67.123287671233
Aston Villa,Manga,92000,6.1333333333333,3400000,6.938775510204099,88.392156862745
Aston Villa,Baseball,460000,30.666666666667,6700000,13.673469387755,224.27860696517
Aston Villa,Beauty salons,410000,27.333333333333,15000000,30.612244897959,89.288888888889
Aston Villa,Car rentals,150000,10.0,2600000,5.3061224489795995,188.46153846154
Aston Villa,Mountain biking,230000,15.333333333333002,3300000,6.734693877551,227.67676767677003
Aston Villa,Trucks,380000,25.333333333333,5800000,11.836734693878,214.02298850575002
Aston Villa,Graphic design,340000,22.666666666667,9600000,19.591836734694,115.69444444443998
Aston Villa,Fatherhood,390000,26.0,9500000,19.387755102040998,134.10526315789
Aston Villa,Italian cuisine,240000,16.0,5400000,11.020408163265,145.18518518519
Aston Villa,Latin American cuisine,7400,0.49333333333333,420000,0.85714285714286,57.555555555556005
Aston Villa,Boutiques,440000,29.333333333333,15000000,30.612244897959,95.82222222222201
Aston Villa,Crafts,440000,29.333333333333,16000000,32.65306122449,89.833333333333
Aston Villa,Hunting,390000,26.0,7700000,15.714285714286001,165.45454545455
Aston Villa,Soul music,390000,26.0,10000000,20.408163265306,127.4
Aston Villa,Association football (Soccer),1400000,93.333333333333,26000000,53.061224489796,175.89743589744
Aston Villa,Rabbits,110000,7.3333333333333,3700000,7.5510204081633,97.117117117117
Aston Villa,Spanish cuisine,16000,1.0666666666667,600000,1.2244897959183998,87.11111111111099
Aston Villa,Music festivals,420000,28.0,9300000,18.979591836735,147.52688172043
Aston Villa,Desktop computers,220000,14.666666666666998,3800000,7.7551020408163,189.12280701753997
Aston Villa,Computer monitors,130000,8.6666666666667,2100000,4.2857142857143,202.22222222222
Aston Villa,Coffeehouses,480000,32.0,13000000,26.530612244898,120.61538461538
Aston Villa,Boating,130000,8.6666666666667,2400000,4.8979591836735,176.94444444444
Aston Villa,Electric vehicle,340000,22.666666666667,4200000,8.5714285714286,264.44444444444
Aston Villa,Desserts,490000,32.666666666667,11000000,22.448979591837002,145.51515151515
Aston Villa,Comics,250000,16.666666666667,6500000,13.265306122449,125.64102564103001
Aston Villa,TV game shows,230000,15.333333333333002,3300000,6.734693877551,227.67676767677003
Aston Villa,Digital marketing,99000,6.6,2800000,5.7142857142857,115.5
Aston Villa,Animated movies,290000,19.333333333333,7700000,15.714285714286001,123.0303030303
Aston Villa,Furniture,710000,47.333333333332995,21000000,42.857142857143,110.44444444443998
Aston Villa,Vehicles,990000,66.0,23000000,46.938775510204,140.60869565216998
Aston Villa,Chocolate,540000,36.0,13000000,26.530612244898,135.69230769231
Aston Villa,Baking,490000,32.666666666667,13000000,26.530612244898,123.12820512821001
Aston Villa,Volunteering,140000,9.3333333333333,4700000,9.591836734693901,97.304964539007
Aston Villa,Movies,1200000,80.0,32000000,65.30612244898,122.5
Aston Villa,Mortgage loans,370000,24.666666666667,7100000,14.489795918367,170.23474178403998
Aston Villa,Computer processors,160000,10.666666666667,2400000,4.8979591836735,217.77777777778
Aston Villa,Painting,450000,30.0,13000000,26.530612244898,113.07692307692
Aston Villa,Personal finance,960000,64.0,22000000,44.897959183673,142.54545454545
Aston Villa,Jazz music,480000,32.0,12000000,24.489795918367,130.66666666667
