Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
Crystal Palace,Cosmetics,140000,26.415094339623,24000000,48.979591836735004,53.930817610063
Crystal Palace,Science,100000,18.867924528301998,14000000,28.571428571429,66.037735849057
Crystal Palace,Beauty,190000,35.849056603774,29000000,59.183673469388,60.572543916721
Crystal Palace,Adventure travel,82000,15.471698113208001,7700000,15.714285714286001,98.456260720412
Crystal Palace,Organic food,67000,12.641509433962,8800000,17.959183673469,70.390222984563
Crystal Palace,Small business,76000,14.339622641509,9200000,18.775510204082,76.374077112387
Crystal Palace,Interior design,130000,24.528301886792,20000000,40.816326530612,60.094339622642
Crystal Palace,Acting,60000,11.320754716981002,7700000,15.714285714286001,72.04116638078901
Crystal Palace,Vacations,75000,14.150943396226001,8400000,17.142857142857,82.547169811321
Crystal Palace,Volleyball,69000,13.018867924528001,3700000,7.5510204081633,172.41203467619
Crystal Palace,Soft drinks,43000,8.1132075471698,5000000,10.204081632653,79.509433962264
Crystal Palace,Classical music,83000,15.660377358491,7700000,15.714285714286001,99.656946826758
Crystal Palace,Theatre,120000,22.641509433962003,14000000,28.571428571429,79.245283018868
Crystal Palace,Tablet computers,79000,14.905660377358,9800000,20.0,74.52830188679201
Crystal Palace,Aviation,55000,10.377358490566,6400000,13.061224489796,79.45165094339599
Crystal Palace,Mexican cuisine,14000,2.6415094339623,1700000,3.4693877551020003,76.137624861265
Crystal Palace,Word games,12000,2.2641509433962,2200000,4.4897959183673,50.428816466552
Crystal Palace,Concerts,110000,20.754716981132,8800000,17.959183673469,115.56603773584999
Crystal Palace,Mobile phones,150000,28.301886792452997,17000000,34.69387755102,81.57602663707
Crystal Palace,Action games,52000,9.811320754717,4000000,8.163265306122401,120.18867924528
Crystal Palace,Fishing,66000,12.452830188678998,7000000,14.285714285713999,87.169811320755
Crystal Palace,Surfing,50000,9.433962264150901,4700000,9.591836734693901,98.354074668808
Crystal Palace,Outdoor recreation,170000,32.075471698113,22000000,44.897959183673,71.440823327616
Crystal Palace,Mystery fiction,43000,8.1132075471698,6000000,12.244897959184,66.25786163522
Crystal Palace,Motherhood,91000,17.169811320755,15000000,30.612244897959,56.088050314465
Crystal Palace,Reading,200000,37.735849056603996,31000000,63.265306122449,59.646987218503
Crystal Palace,Singing,89000,16.792452830189,8400000,17.142857142857,97.95597484276699
Crystal Palace,Japanese cuisine,16000,3.0188679245282994,2000000,4.081632653061201,73.962264150943
Crystal Palace,Camcorders,4900,0.9245283018867901,730000,1.4897959183673,62.057379167743996
Crystal Palace,Meditation,89000,16.792452830189,9000000,18.367346938776,91.425576519916
Crystal Palace,Gambling,140000,26.415094339623,11000000,22.448979591837002,117.66723842196001
Crystal Palace,Beer,110000,20.754716981132,10000000,20.408163265306,101.69811320755
Crystal Palace,Music,230000,43.396226415094006,36000000,73.46938775510199,59.067085953878
Crystal Palace,Tattoos,94000,17.735849056604,14000000,28.571428571429,62.075471698113006
Crystal Palace,Arts and music,230000,43.396226415094006,37000000,75.51020408163299,57.470678225395005
Crystal Palace,Chinese cuisine,20000,3.7735849056603996,2700000,5.5102040816327,68.48357791754
Crystal Palace,Online poker,47000,8.8679245283019,2600000,5.3061224489795995,167.12626995646002
Crystal Palace,Community issues,58000,10.943396226415,8300000,16.938775510204,64.605592180041
Crystal Palace,Gardening,110000,20.754716981132,18000000,36.734693877550995,56.498951781970995
Crystal Palace,Coupons,110000,20.754716981132,16000000,32.65306122449,63.561320754716995
Crystal Palace,Ecotourism,13000,2.4528301886792003,1500000,3.0612244897959,80.125786163522
Crystal Palace,First-person shooter games,140000,26.415094339623,14000000,28.571428571429,92.452830188679
Crystal Palace,Retail banking,7000,1.3207547169811003,470000,0.9591836734693899,137.69570453633003
Crystal Palace,Investment banking,11000,2.0754716981132,700000,1.4285714285714,145.28301886792
Crystal Palace,Mountains,55000,10.377358490566,7300000,14.897959183673,69.656241922978
Crystal Palace,Toys,92000,17.358490566038,14000000,28.571428571429,60.754716981132
Crystal Palace,Games,220000,41.509433962264,29000000,59.183673469388,70.13662979830801
Crystal Palace,Gospel music,48000,9.0566037735849,5900000,12.040816326531,75.21586184841699
Crystal Palace,E-books,59000,11.132075471698,9100000,18.571428571429,59.941944847605
Crystal Palace,Sales,190000,35.849056603774,30000000,61.224489795918,58.553459119497006
Crystal Palace,Email marketing,4300,0.8113207547169801,730000,1.4897959183673,54.458516412509994
Crystal Palace,Manga,27000,5.0943396226415,3400000,6.938775510204099,73.418423973363
Crystal Palace,Baseball,87000,16.415094339623,6700000,13.673469387755,120.05068994648998
Crystal Palace,Beauty salons,80000,15.094339622642,15000000,30.612244897959,49.308176100629
Crystal Palace,Car rentals,26000,4.9056603773585,2600000,5.3061224489795995,92.452830188679
Crystal Palace,Mountain biking,46000,8.6792452830189,3300000,6.734693877551,128.87364208118998
Crystal Palace,Trucks,65000,12.264150943396,5800000,11.836734693878,103.61093038386
