Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
Southampton,Cosmetics,420000,63.636363636364,24000000,48.979591836735004,129.92424242424
Southampton,Science,330000,50.0,14000000,28.571428571429,175.0
Southampton,Beauty,540000,81.818181818182,29000000,59.183673469388,138.24451410658
Southampton,Adventure travel,190000,28.787878787879,7700000,15.714285714286001,183.19559228650002
Southampton,Organic food,150000,22.727272727273,8800000,17.959183673469,126.54958677686001
Southampton,Small business,200000,30.30303030303,9200000,18.775510204082,161.39657444005
Southampton,Interior design,360000,54.545454545455,20000000,40.816326530612,133.63636363636002
Southampton,Acting,160000,24.242424242424,7700000,15.714285714286001,154.26997245178998
Southampton,Vacations,170000,25.757575757576,8400000,17.142857142857,150.25252525253
Southampton,Volleyball,150000,22.727272727273,3700000,7.5510204081633,300.9828009828
Southampton,Soft drinks,150000,22.727272727273,5000000,10.204081632653,222.72727272727002
Southampton,Classical music,210000,31.818181818182,7700000,15.714285714286001,202.47933884298
Southampton,Theatre,320000,48.484848484848,14000000,28.571428571429,169.69696969696997
Southampton,Tablet computers,240000,36.363636363636,9800000,20.0,181.81818181818
Southampton,Aviation,160000,24.242424242424,6400000,13.061224489796,185.60606060606003
Southampton,Mexican cuisine,35000,5.303030303030299,1700000,3.4693877551020003,152.85204991087
Southampton,Word games,44000,6.6666666666667,2200000,4.4897959183673,148.48484848485
Southampton,Concerts,260000,39.393939393939,8800000,17.959183673469,219.35261707989
Southampton,Mobile phones,440000,66.666666666667,17000000,34.69387755102,192.15686274509997
Southampton,Action games,120000,18.181818181818,4000000,8.163265306122401,222.72727272727002
Southampton,Fishing,190000,28.787878787879,7000000,14.285714285713999,201.51515151515
Southampton,Surfing,110000,16.666666666667,4700000,9.591836734693901,173.75886524823002
Southampton,Outdoor recreation,470000,71.212121212121,22000000,44.897959183673,158.608815427
Southampton,Mystery fiction,120000,18.181818181818,6000000,12.244897959184,148.48484848485
Southampton,Motherhood,250000,37.878787878787996,15000000,30.612244897959,123.73737373736999
Southampton,Reading,570000,86.363636363636,31000000,63.265306122449,136.51026392962
Southampton,Singing,240000,36.363636363636,8400000,17.142857142857,212.12121212121002
Southampton,Japanese cuisine,48000,7.2727272727273,2000000,4.081632653061201,178.18181818182
Southampton,Camcorders,17000,2.5757575757576,730000,1.4897959183673,172.89331672893002
Southampton,Meditation,200000,30.30303030303,9000000,18.367346938776,164.98316498316
Southampton,Gambling,430000,65.151515151515,11000000,22.448979591837002,290.22038567492996
Southampton,Beer,290000,43.939393939393995,10000000,20.408163265306,215.30303030303003
Southampton,Music,660000,100.0,36000000,73.46938775510199,136.11111111111
Southampton,Tattoos,260000,39.393939393939,14000000,28.571428571429,137.87878787879
Southampton,Arts and music,660000,100.0,37000000,75.51020408163299,132.43243243243
Southampton,Chinese cuisine,53000,8.030303030303001,2700000,5.5102040816327,145.73512906846
Southampton,Online poker,130000,19.69696969697,2600000,5.3061224489795995,371.21212121212005
Southampton,Community issues,150000,22.727272727273,8300000,16.938775510204,134.1730558598
Southampton,Gardening,320000,48.484848484848,18000000,36.734693877550995,131.98653198653
Southampton,Coupons,300000,45.454545454545,16000000,32.65306122449,139.20454545455
Southampton,Ecotourism,28000,4.2424242424242005,1500000,3.0612244897959,138.58585858586
Southampton,First-person shooter games,370000,56.060606060606005,14000000,28.571428571429,196.21212121211997
Southampton,Retail banking,24000,3.6363636363636,470000,0.9591836734693899,379.11025145068
Southampton,Investment banking,21000,3.1818181818182003,700000,1.4285714285714,222.72727272727002
Southampton,Mountains,190000,28.787878787879,7300000,14.897959183673,193.23370693233997
Southampton,Toys,290000,43.939393939393995,14000000,28.571428571429,153.78787878788
Southampton,Games,610000,92.424242424242,29000000,59.183673469388,156.16509926855
Southampton,Gospel music,110000,16.666666666667,5900000,12.040816326531,138.41807909605
Southampton,E-books,170000,25.757575757576,9100000,18.571428571429,138.69463869464
Southampton,Sales,530000,80.30303030303,30000000,61.224489795918,131.16161616161997
Southampton,Email marketing,9200,1.3939393939394,730000,1.4897959183673,93.56579493565799
Southampton,Manga,65000,9.848484848484802,3400000,6.938775510204099,141.93404634581
Southampton,Baseball,220000,33.333333333333,6700000,13.673469387755,243.78109452736
Southampton,Beauty salons,230000,34.848484848485,15000000,30.612244897959,113.83838383838001
Southampton,Car rentals,110000,16.666666666667,2600000,5.3061224489795995,314.10256410256
Southampton,Mountain biking,120000,18.181818181818,3300000,6.734693877551,269.97245179063
Southampton,Trucks,220000,33.333333333333,5800000,11.836734693878,281.6091954023
Southampton,Graphic design,230000,34.848484848485,9600000,19.591836734694,177.87247474746997
Southampton,Fatherhood,180000,27.272727272727,9500000,19.387755102040998,140.66985645933
Southampton,Italian cuisine,140000,21.212121212121,5400000,11.020408163265,192.48035914703
Southampton,Latin American cuisine,4600,0.6969696969697,420000,0.85714285714286,81.313131313131
Southampton,Boutiques,240000,36.363636363636,15000000,30.612244897959,118.78787878788
Southampton,Crafts,270000,40.909090909091,16000000,32.65306122449,125.28409090908998
Southampton,Hunting,200000,30.30303030303,7700000,15.714285714286001,192.83746556474
Southampton,Soul music,220000,33.333333333333,10000000,20.408163265306,163.33333333333
Southampton,Association football (Soccer),730000,110.60606060606001,26000000,53.061224489796,208.44988344988
Southampton,Rabbits,67000,10.151515151515,3700000,7.5510204081633,134.43898443898001
Southampton,Spanish cuisine,8600,1.3030303030303,600000,1.2244897959183998,106.41414141413999
Southampton,Music festivals,250000,37.878787878787996,9300000,18.979591836735,199.57640925383
Southampton,Desktop computers,140000,21.212121212121,3800000,7.7551020408163,273.52472089314
Southampton,Computer monitors,70000,10.606060606061,2100000,4.2857142857143,247.47474747475
Southampton,Coffeehouses,230000,34.848484848485,13000000,26.530612244898,131.35198135198
Southampton,Boating,68000,10.303030303029999,2400000,4.8979591836735,210.35353535354
Southampton,Electric vehicle,180000,27.272727272727,4200000,8.5714285714286,318.18181818182
Southampton,Desserts,250000,37.878787878787996,11000000,22.448979591837002,168.73278236915002
Southampton,Comics,130000,19.69696969697,6500000,13.265306122449,148.48484848485
Southampton,TV game shows,120000,18.181818181818,3300000,6.734693877551,269.97245179063
Southampton,Digital marketing,77000,11.666666666666998,2800000,5.7142857142857,204.16666666667
Southampton,Animated movies,170000,25.757575757576,7700000,15.714285714286001,163.91184573003
Southampton,Furniture,380000,57.575757575758,21000000,42.857142857143,134.34343434343
Southampton,Vehicles,510000,77.272727272727,23000000,46.938775510204,164.62450592885
Southampton,Chocolate,280000,42.424242424242,13000000,26.530612244898,159.90675990676002
Southampton,Baking,260000,39.393939393939,13000000,26.530612244898,148.48484848485
Southampton,Volunteering,76000,11.515151515151999,4700000,9.591836734693901,120.05157962605
Southampton,Movies,610000,92.424242424242,32000000,65.30612244898,141.52462121212
