Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
Leicester City,Single,120000,12.5,6100000,12.448979591837,100.40983606556999
Leicester City,In a relationship,110000,11.458333333333002,4900000,10.0,114.58333333333
Leicester City,Married,190000,19.791666666667,9600000,19.591836734694,101.01996527778
Leicester City,Engaged,43000,4.4791666666667,1600000,3.265306122449,137.17447916667
Leicester City,Not specified,180000,18.75,15000000,30.612244897959,61.25
Leicester City,In a civil union,1000,0.10416666666666999,32000,0.06530612244898001,159.50520833333
Leicester City,In a domestic partnership,1000,0.10416666666666999,24000,0.048979591836735004,212.67361111111
Leicester City,In an open relationship,1000,0.10416666666666999,38000,0.077551020408163,134.32017543860002
Leicester City,It is complicated,2000,0.20833333333332996,140000,0.28571428571429,72.916666666667
Leicester City,Separated,2500,0.26041666666667,140000,0.28571428571429,91.145833333333
Leicester City,Divorced,2500,0.26041666666667,160000,0.32653061224490004,79.752604166667
Leicester City,Widowed,2200,0.22916666666667004,160000,0.32653061224490004,70.182291666667
