Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
Liverpool,Single,970000,18.653846153846,6100000,12.448979591837,149.84237074401
Liverpool,In a relationship,850000,16.346153846154,4900000,10.0,163.46153846154
Liverpool,Married,1400000,26.923076923077,9600000,19.591836734694,137.41987179487
Liverpool,Engaged,330000,6.3461538461538,1600000,3.265306122449,194.35096153846
Liverpool,Not specified,1500000,28.846153846154,15000000,30.612244897959,94.230769230769
Liverpool,In a civil union,3900,0.075,32000,0.06530612244898001,114.84375
Liverpool,In a domestic partnership,3000,0.057692307692308,24000,0.048979591836735004,117.78846153846001
Liverpool,In an open relationship,4400,0.084615384615385,38000,0.077551020408163,109.10931174089
Liverpool,It is complicated,17000,0.32692307692308004,140000,0.28571428571429,114.42307692308
Liverpool,Separated,20000,0.38461538461538003,140000,0.28571428571429,134.61538461538
Liverpool,Divorced,20000,0.38461538461538003,160000,0.32653061224490004,117.78846153846001
Liverpool,Widowed,16000,0.30769230769231,160000,0.32653061224490004,94.230769230769
