Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
Aston Villa,Single,200000,13.333333333333002,6100000,12.448979591837,107.10382513661
Aston Villa,In a relationship,200000,13.333333333333002,4900000,10.0,133.33333333333
Aston Villa,Married,330000,22.0,9600000,19.591836734694,112.29166666667
Aston Villa,Engaged,75000,5.0,1600000,3.265306122449,153.125
Aston Villa,Not specified,280000,18.666666666667,15000000,30.612244897959,60.977777777777995
Aston Villa,In a civil union,1000,0.066666666666667,32000,0.06530612244898001,102.08333333333
Aston Villa,In a domestic partnership,1000,0.066666666666667,24000,0.048979591836735004,136.11111111111
Aston Villa,In an open relationship,1000,0.066666666666667,38000,0.077551020408163,85.964912280702
Aston Villa,It is complicated,2800,0.18666666666667003,140000,0.28571428571429,65.333333333333
Aston Villa,Separated,4100,0.27333333333333,140000,0.28571428571429,95.666666666667
Aston Villa,Divorced,3900,0.26,160000,0.32653061224490004,79.625
Aston Villa,Widowed,3200,0.21333333333332996,160000,0.32653061224490004,65.333333333333
