Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
Chelsea,Single,420000,13.125,6100000,12.448979591837,105.43032786885
Chelsea,In a relationship,350000,10.9375,4900000,10.0,109.375
Chelsea,Married,490000,15.3125,9600000,19.591836734694,78.157552083333
Chelsea,Engaged,120000,3.75,1600000,3.265306122449,114.84375
Chelsea,Not specified,540000,16.875,15000000,30.612244897959,55.125
Chelsea,In a civil union,1500,0.046875,32000,0.06530612244898001,71.77734375
Chelsea,In a domestic partnership,1000,0.03125,24000,0.048979591836735004,63.802083333332995
Chelsea,In an open relationship,1800,0.05625,38000,0.077551020408163,72.532894736842
Chelsea,It is complicated,6600,0.20625,140000,0.28571428571429,72.1875
Chelsea,Separated,6500,0.203125,140000,0.28571428571429,71.09375
Chelsea,Divorced,6500,0.203125,160000,0.32653061224490004,62.20703125
Chelsea,Widowed,5400,0.16875,160000,0.32653061224490004,51.6796875
