Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
Leeds United,Single,1400000,15.730337078652001,6100000,12.448979591837,126.35844538589
Leeds United,In a relationship,1300000,14.606741573034,4900000,10.0,146.06741573033997
Leeds United,Married,2600000,29.213483146067,9600000,19.591836734694,149.11048689139
Leeds United,Engaged,510000,5.7303370786517,1600000,3.265306122449,175.49157303371
Leeds United,Not specified,2300000,25.842696629213,15000000,30.612244897959,84.419475655431
Leeds United,In a civil union,6000,0.067415730337079,32000,0.06530612244898001,103.23033707865
Leeds United,In a domestic partnership,4600,0.051685393258427,24000,0.048979591836735004,105.52434456929001
Leeds United,In an open relationship,5600,0.06292134831460701,38000,0.077551020408163,81.13542282673001
Leeds United,It is complicated,25000,0.28089887640448996,140000,0.28571428571429,98.31460674157302
Leeds United,Separated,31000,0.34831460674157,140000,0.28571428571429,121.91011235955
Leeds United,Divorced,36000,0.40449438202246996,160000,0.32653061224490004,123.87640449438
Leeds United,Widowed,37000,0.41573033707865,160000,0.32653061224490004,127.31741573033999
