Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
Man Utd,Single,690000,17.25,6100000,12.448979591837,138.56557377049
Man Utd,In a relationship,570000,14.25,4900000,10.0,142.5
Man Utd,Married,810000,20.25,9600000,19.591836734694,103.359375
Man Utd,Engaged,200000,5.0,1600000,3.265306122449,153.125
Man Utd,Not specified,890000,22.25,15000000,30.612244897959,72.683333333333
Man Utd,In a civil union,2200,0.055,32000,0.06530612244898001,84.21875
Man Utd,In a domestic partnership,1600,0.04,24000,0.048979591836735004,81.666666666667
Man Utd,In an open relationship,2600,0.065,38000,0.077551020408163,83.81578947368399
Man Utd,It is complicated,11000,0.275,140000,0.28571428571429,96.25
Man Utd,Separated,11000,0.275,140000,0.28571428571429,96.25
Man Utd,Divorced,11000,0.275,160000,0.32653061224490004,84.21875
Man Utd,Widowed,9300,0.2325,160000,0.32653061224490004,71.203125
