Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
Newcastle,Single,170000,12.142857142857,6100000,12.448979591837,97.540983606557
Newcastle,In a relationship,160000,11.428571428571,4900000,10.0,114.28571428571001
Newcastle,Married,280000,20.0,9600000,19.591836734694,102.08333333333
Newcastle,Engaged,62000,4.4285714285714,1600000,3.265306122449,135.625
Newcastle,Not specified,230000,16.428571428571,15000000,30.612244897959,53.666666666667005
Newcastle,In a civil union,1000,0.071428571428571,32000,0.06530612244898001,109.375
Newcastle,In a domestic partnership,1000,0.071428571428571,24000,0.048979591836735004,145.83333333333
Newcastle,In an open relationship,1000,0.071428571428571,38000,0.077551020408163,92.105263157895
Newcastle,It is complicated,2500,0.17857142857143,140000,0.28571428571429,62.5
Newcastle,Separated,3500,0.25,140000,0.28571428571429,87.5
Newcastle,Divorced,3600,0.25714285714286,160000,0.32653061224490004,78.75
Newcastle,Widowed,3200,0.22857142857143,160000,0.32653061224490004,70.0
