Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
West Brom,Single,85000,17.34693877551,6100000,12.448979591837,139.34426229508
West Brom,In a relationship,87000,17.755102040816,4900000,10.0,177.55102040816
West Brom,Married,140000,28.571428571429,9600000,19.591836734694,145.83333333333
West Brom,Engaged,32000,6.530612244898,1600000,3.265306122449,200.0
West Brom,Not specified,120000,24.489795918367,15000000,30.612244897959,80.0
West Brom,In a civil union,1000,0.20408163265306,32000,0.06530612244898001,312.5
West Brom,In a domestic partnership,1000,0.20408163265306,24000,0.048979591836735004,416.66666666667
West Brom,In an open relationship,1000,0.20408163265306,38000,0.077551020408163,263.15789473684
West Brom,It is complicated,1200,0.24489795918367002,140000,0.28571428571429,85.714285714286
West Brom,Separated,1700,0.3469387755102,140000,0.28571428571429,121.42857142857001
West Brom,Divorced,1800,0.36734693877551006,160000,0.32653061224490004,112.5
West Brom,Widowed,1600,0.32653061224490004,160000,0.32653061224490004,100.0
